Msex2.02682,jdp
Msex2.11861,Rab11
Msex2.00861,TTLL5
Msex2.10598,CG12107
Msex2.00863,SdhD
Msex2.06794,Hmt4-20
Msex2.06795,CG1628
Msex2.06796,SkpA
Msex2.06791,OtopLb
Msex2.06793,Roc1a
Msex2.09773,Mdr50
Msex2.09770,CG7953
Msex2.09777,beta3GalTII
Msex2.06799,btv
Msex2.09774,opa
Msex2.05040,CG7970
Msex2.05043,CG7991
Msex2.05042,thoc6
Msex2.05045,CG5290
Msex2.05044,Rbsn-5
Msex2.05046,CG7744
Msex2.01219,GstZ2
Msex2.06248,Fcp3C
Msex2.06249,ttk
Msex2.01210,rad
Msex2.01211,Actn
Msex2.01212,CG14407
Msex2.06533,Phlpp
Msex2.06534,Lim3
Msex2.01215,CD98hc
Msex2.01216,CG33108
Msex2.01217,KrT95D
Msex2.10597,NoSymbolFound
Msex2.07424,Plp
Msex2.07934,Dnai2
Msex2.07119,CG5815
Msex2.07118,cN-IIIB
Msex2.07115,Aasdh
Msex2.07117,Gdi
Msex2.07116,CG33298
Msex2.13709,crok
Msex2.02544,Ephrin
Msex2.02546,CG2816
Msex2.02093,LanA
Msex2.02540,CG3663
Msex2.02091,NoSymbolFound
Msex2.02542,His2B:CG33868
Msex2.13253,CG10778
Msex2.13252,CG31249
Msex2.13251,Tim8
Msex2.13250,Ada
Msex2.02548,CG3604
Msex2.02099,CG11498
Msex2.13254,CG12259
Msex2.12078,Hsepi
Msex2.12079,Myd88
Msex2.13856,GABA-B-R2
Msex2.12070,Arp1
Msex2.12071,Akr1B
Msex2.12072,Gpat4
Msex2.12073,ATPsynE
Msex2.12076,ytr
Msex2.12077,Drep2
Msex2.13853,pan
Msex2.01886,ssp5
Msex2.02329,CG8009
Msex2.02328,CG32066
Msex2.14952,CG14969
Msex2.02899,tok
Msex2.02898,CG4603
Msex2.02321,Gug
Msex2.02320,CG13449
Msex2.02323,c12.2
Msex2.02327,CG32333
Msex2.02326,tfc
Msex2.05235,CG9313
Msex2.00604,p23
Msex2.00606,CG7694
Msex2.04490,Ttc30
Msex2.04493,Coa8
Msex2.04492,CG12479
Msex2.04495,CG7272
Msex2.04494,NoSymbolFound
Msex2.04497,Marf
Msex2.04496,Nc73EF
Msex2.04498,BCL7-like
Msex2.09507,Pde8
Msex2.11587,SmF
Msex2.03943,CG14418
Msex2.03940,MED30
Msex2.03941,CG14984
Msex2.12359,mRpL10
Msex2.12358,CG11617
Msex2.00024,kibra
Msex2.00026,CG9590
Msex2.00020,FMRFa
Msex2.00021,Prosalpha6
Msex2.03059,Iris
Msex2.08233,hfw
Msex2.08232,CG5589
Msex2.08235,retm
Msex2.08236,Uba1
Msex2.08239,CG42237
Msex2.08238,ste14
Msex2.03052,hpo
Msex2.03053,Bug22
Msex2.03054,CG1371
Msex2.09016,CG15615
Msex2.09017,CG16985
Msex2.09014,Cralbp
Msex2.09012,CG8314
Msex2.09013,CG8320
Msex2.09546,Syt1
Msex2.09011,CG30380
Msex2.09548,scf
Msex2.09018,Pxn
Msex2.09019,fax
Msex2.02350,MsrA
Msex2.14043,CG11076
Msex2.05146,Taldo
Msex2.12350,CG32590
Msex2.00427,CG12420
Msex2.02352,Nhe2
Msex2.00796,pre-mod(mdg4)-U
Msex2.02353,CG7384
Msex2.11677,Tspo
Msex2.11676,l(3)07882
Msex2.11675,Non2
Msex2.11674,CG13436
Msex2.11673,GatA
Msex2.11672,BOD1
Msex2.09727,Dhit
Msex2.12357,JhI-21
Msex2.12725,CG5721
Msex2.12424,CNBP
Msex2.12726,PICK1
Msex2.08240,Rbpn-5
Msex2.08245,gammaSnap1
Msex2.11493,RpL36A
Msex2.11492,CCDC53
Msex2.11491,BCAS2
Msex2.11490,CG4968
Msex2.08499,casp
Msex2.08498,Tsp
Msex2.11495,Tnpo-SR
Msex2.11494,Caf1-105
Msex2.08495,sens-2
Msex2.08496,pirk
Msex2.08490,Nufip
Msex2.08493,NoSymbolFound
Msex2.08492,CG11342
Msex2.01775,Trx-2
Msex2.10496,CG9747
Msex2.05452,mRF1
Msex2.05450,Ca-Ma2d
Msex2.05451,stj
Msex2.05456,pr
Msex2.05457,bwa
Msex2.05454,fd96Ca
Msex2.05455,wal
Msex2.05459,UQCR-14L
Msex2.01516,Mctp
Msex2.01513,CG42360
Msex2.01512,CG7110
Msex2.01510,Incenp
Msex2.01519,mRpS16
Msex2.01518,ReepB
Msex2.10696,Dad1
Msex2.08828,Pdxk
Msex2.08825,Hmt-1
Msex2.08826,Gprk1
Msex2.08821,mew
Msex2.08823,CG16989
Msex2.13132,NoSymbolFound
Msex2.13130,CG14079
Msex2.13138,mRpL45
Msex2.10720,eIF3j
Msex2.10728,orb2
Msex2.02156,Pdk
Msex2.02157,CG2811
Msex2.02155,MetRS
Msex2.02152,unpg
Msex2.02151,CG8042
Msex2.13392,RhoGAPp190
Msex2.13396,rn
Msex2.02158,CG15561
Msex2.02159,ND-B17.2
Msex2.07328,otu
Msex2.07329,regucalcin
Msex2.07322,CG7728
Msex2.07323,GramD1B
Msex2.07321,Liprin-alpha
Msex2.07327,cib
Msex2.07324,RpS27A
Msex2.07325,Ip259
Msex2.00808,CG5397
Msex2.00809,gfzf
Msex2.00806,pre-mod(mdg4)-AD
Msex2.00807,mod(mdg4)
Msex2.03301,Cip4
Msex2.12667,rdgC
Msex2.12661,Mlc-c
Msex2.12669,scaf6
Msex2.12668,jumu
Msex2.12095,CG17065
Msex2.12449,hkb
Msex2.12448,CG1090
Msex2.15499,CG14569
Msex2.03202,mbl
Msex2.12441,ClpP
Msex2.12440,CG13392
Msex2.12443,Pp2A-29B
Msex2.03209,nopo
Msex2.03208,CG34039
Msex2.12447,CkIalpha
Msex2.12446,CG7920
Msex2.04009,CG9812
Msex2.04006,Arv1
Msex2.08009,CG33120
Msex2.08007,Cyp304a1
Msex2.08004,Rel
Msex2.08005,CG34148
Msex2.08002,Dci
Msex2.08003,ringer
Msex2.08553,CG31663
Msex2.04266,CG14892
Msex2.04267,Cad87A
Msex2.04264,Smu1
Msex2.04265,CG10345
Msex2.04262,CG10340
Msex2.04260,Arc2
Msex2.11804,CG5641
Msex2.11805,Slik
Msex2.11806,Galt
Msex2.11800,CG40160
Msex2.11802,CG5890
Msex2.11803,CG32576
Msex2.05208,CG6836
Msex2.05207,CG4213
Msex2.05205,CG42324
Msex2.05203,CG15020
Msex2.05202,Setd3
Msex2.05201,Atf3
Msex2.05200,Tip60
Msex2.01189,Nab2
Msex2.01180,beta-Spec
Msex2.01185,Unc-76
Msex2.01186,DnaJ-60
Msex2.09203,pigs
Msex2.09201,CG12288
Msex2.09200,snu
Msex2.09207,ImpE3
Msex2.09758,CG15160
Msex2.09204,CG13618
Msex2.04910,CG12384
Msex2.09754,CG42748
Msex2.09209,CG5326
Msex2.04913,Orc6
Msex2.04914,Galphas
Msex2.04915,eco
Msex2.00583,Mlc1
Msex2.00582,tau
Msex2.00581,CG7029
Msex2.00587,CG8516
Msex2.00586,Ndc1
Msex2.00585,unc80
Msex2.00589,p24-1
Msex2.00588,Yip1d1
Msex2.06512,NKAIN
Msex2.01233,CG12540
Msex2.06511,Uch
Msex2.06516,Nhe3
Msex2.01237,CG42813
Msex2.06514,CG9117
Msex2.01238,barc
Msex2.01239,CG6420
Msex2.13091,Hlc
Msex2.13090,Ubr3
Msex2.13094,SerT
Msex2.07177,CG32052
Msex2.07175,kst
Msex2.07173,CCT7
Msex2.07171,CG11007
Msex2.07170,glob3
Msex2.02528,Mfap1
Msex2.02527,pyd3
Msex2.02526,eIF2beta
Msex2.02525,mRpS30
Msex2.02524,Elp1
Msex2.02522,AdamTS-B
Msex2.02521,Upf1
Msex2.02520,CG1105
Msex2.09594,CG10307
Msex2.13275,CG4281
Msex2.13276,CG5199
Msex2.13272,CG11883
Msex2.12050,Coprox
Msex2.12056,Hakai
Msex2.12057,Lk6
Msex2.12054,Naxe
Msex2.12055,CG9536
Msex2.12059,Sec24AB
Msex2.07366,Act57B
Msex2.01268,MICAL-like
Msex2.13062,Sf3b5
Msex2.13063,Mtr3
Msex2.06541,Nfs1
Msex2.01260,BI-1
Msex2.06543,CG4751
Msex2.01619,Rhau
Msex2.06542,RabX6
Msex2.01265,NoSymbolFound
Msex2.01264,Miro
Msex2.03928,Utx
Msex2.03929,CG7378
Msex2.03698,Smyd4-2
Msex2.03699,CG43373
Msex2.03696,t
Msex2.03925,CG2765
Msex2.03694,CG15912
Msex2.03927,Shc
Msex2.03692,frc
Msex2.03921,wdp
Msex2.03922,CG5819
Msex2.13979,Atac1
Msex2.00006,CG34126
Msex2.00007,hmw
Msex2.00005,Synd
Msex2.00003,Sbf
Msex2.00001,Ubr1
Msex2.00008,CG13541
Msex2.00009,Bap111
Msex2.03072,CG31522
Msex2.07146,vkg
Msex2.03070,NoSymbolFound
Msex2.03071,CG7049
Msex2.03076,CG13643
Msex2.03077,Lkb1
Msex2.03075,ELOVL
Msex2.03079,yellow-c
Msex2.14069,CG13314
Msex2.04652,mAcon1
Msex2.07142,na
Msex2.14063,CG14965
Msex2.14062,drd
Msex2.04651,RpL22
Msex2.07143,Oseg4
Msex2.07637,vir
Msex2.11122,phr6-4
Msex2.11121,RpL8
Msex2.11127,Golgin245
Msex2.04655,AdSL
Msex2.11124,CG31913
Msex2.11658,NoSymbolFound
Msex2.11129,CG1231
Msex2.11128,Rai1
Msex2.01035,HDAC1
Msex2.10599,CG3430
Msex2.00528,CG9213
Msex2.13872,COX5B
Msex2.13871,CG14321
Msex2.13877,CG8236
Msex2.13875,CG5928
Msex2.13874,DUBAI
Msex2.09568,HLH3B
Msex2.01756,CG43102
Msex2.01751,NoSymbolFound
Msex2.01750,CG10365
Msex2.01753,CG10910
Msex2.10594,CG7650
Msex2.09561,CG10681
Msex2.09566,Jheh3
Msex2.09567,Jheh2
Msex2.09564,CG33993
Msex2.02040,NoSymbolFound
Msex2.00526,mRpS2
Msex2.02517,IntS3
Msex2.09625,dmrt11E
Msex2.05434,Gpo1
Msex2.05435,Spps
Msex2.08618,CG14949
Msex2.05430,CngB
Msex2.10593,Uba2
Msex2.05432,CG13502
Msex2.05433,Set2
Msex2.08613,CG5541
Msex2.02512,Or46a
Msex2.08611,hiw
Msex2.00522,vnd
Msex2.08617,ssp6
Msex2.08616,prc
Msex2.08615,CG7369
Msex2.01539,NoSymbolFound
Msex2.01538,unc-119
Msex2.01531,CG12075
Msex2.12272,RpS7
Msex2.01532,CG14395
Msex2.01535,beag
Msex2.01534,CG12581
Msex2.12273,Pex13
Msex2.10290,TfIIB
Msex2.10523,RYa-R
Msex2.10296,CG2938
Msex2.10297,CG7220
Msex2.10526,CG11977
Msex2.10527,Rpe
Msex2.10528,CG12128
Msex2.10529,CG11089
Msex2.10298,CG15743
Msex2.10299,Spt-I
Msex2.09691,chk
Msex2.09692,CG7985
Msex2.08807,Peritrophin-A
Msex2.08805,obst-A
Msex2.08802,cac
Msex2.08803,Hen1
Msex2.08800,Pgk
Msex2.08801,wds
Msex2.10740,CG13001
Msex2.10741,CG2926
Msex2.10742,cathD
Msex2.10748,jef
Msex2.06169,Las
Msex2.06163,bbc
Msex2.06162,CG43980
Msex2.06160,Arl1
Msex2.10447,Ir8a
Msex2.07349,NoSymbolFound
Msex2.07346,CG10383
Msex2.07340,zld
Msex2.07341,CG7646
Msex2.07342,Ack-like
Msex2.12608,shakB
Msex2.12607,ssp7
Msex2.13519,Vinc
Msex2.13512,Osi17
Msex2.13514,Osi18
Msex2.13516,Prx3
Msex2.03268,CG12253
Msex2.03267,Gr21a
Msex2.03266,smt3
Msex2.03265,LBR
Msex2.03263,PHGPx
Msex2.03262,IscU
Msex2.03261,Son
Msex2.03260,CG15628
Msex2.03242,jagn
Msex2.09885,PPO2
Msex2.09887,NoSymbolFound
Msex2.09886,ctp
Msex2.03249,sll
Msex2.03489,barr
Msex2.03488,tud
Msex2.05173,PIG-F
Msex2.03483,Eip63E
Msex2.03482,ICA69
Msex2.03481,iPLA2-VIA
Msex2.03480,cue
Msex2.03487,Mt2
Msex2.03486,Sk2
Msex2.03485,CG10809
Msex2.04068,bves
Msex2.04069,CG7872
Msex2.04064,Slu7
Msex2.04065,Snx3
Msex2.04062,CG15744
Msex2.14295,CG6688
Msex2.14293,CG7518
Msex2.14299,att-ORFB
Msex2.08573,CG18404
Msex2.08579,CG5003
Msex2.04281,CG13850
Msex2.04282,Apc
Msex2.04285,CG10864
Msex2.04286,Fkbp59
Msex2.04287,Tango10
Msex2.04288,CG5854
Msex2.10191,CNT2
Msex2.10193,Smox
Msex2.10196,Galphaf
Msex2.10199,His4r
Msex2.10198,His3.3B
Msex2.00613,CG14301
Msex2.00611,wda
Msex2.00610,stck
Msex2.05889,CG1299
Msex2.05888,Oatp33Eb
Msex2.00615,fru
Msex2.00614,CG14304
Msex2.05229,Zyx
Msex2.05884,Ras64B
Msex2.00619,CG34230
Msex2.00618,wapl
Msex2.05880,Acp53C14b
Msex2.05883,CycH
Msex2.06750,Burs
Msex2.06751,Su(var)3-3
Msex2.06752,Tollo
Msex2.06755,Mi-2
Msex2.06756,hd
Msex2.06758,Sec20
Msex2.10992,CG31998
Msex2.10995,NiPp1
Msex2.10996,Pex10
Msex2.04932,CG34396
Msex2.04933,CG14647
Msex2.04930,Cse1
Msex2.09226,NoSymbolFound
Msex2.04937,C15
Msex2.04934,lost
Msex2.09730,chn
Msex2.04938,Crz
Msex2.04939,CG6051
Msex2.09229,Sccpdh1
Msex2.09228,alpha-PheRS
Msex2.05087,CG11638
Msex2.05086,fabp
Msex2.05082,Mhcl
Msex2.11826,FipoQ
Msex2.11351,Cpr50Cb
Msex2.11824,gl
Msex2.11825,Trc8
Msex2.05088,Pgam5
Msex2.11820,Ssu72
Msex2.11821,Nelf-A
Msex2.01254,Cpr
Msex2.01255,spoon
Msex2.01256,eIF1A
Msex2.06570,CG44247
Msex2.06571,DopEcR
Msex2.06572,CG5522
Msex2.06573,dikar
Msex2.06578,NoSymbolFound
Msex2.06579,trio
Msex2.07482,NTPase
Msex2.07481,l(2)k10201
Msex2.07480,Pglym78
Msex2.07489,Mnt
Msex2.05306,Top3alpha
Msex2.05307,Cby
Msex2.06288,CG16786
Msex2.06289,Try29F
Msex2.13077,CG10026
Msex2.06282,CG5445
Msex2.05302,Shmt
Msex2.06280,CG5850
Msex2.06281,nSMase
Msex2.06286,Spase22-23
Msex2.06287,CG34236
Msex2.06284,CG14185
Msex2.06285,Fgop2
Msex2.07159,CG5254
Msex2.07158,TrissinR
Msex2.07628,Sps1
Msex2.07151,CG42750
Msex2.07622,tor
Msex2.07153,CG10621
Msex2.05301,CG12994
Msex2.07154,RtGEF
Msex2.07157,CG33995
Msex2.07156,CG44001
Msex2.02053,trbl
Msex2.02052,ND-51
Msex2.02051,CG12375
Msex2.02050,mRNA-cap
Msex2.02505,Cdk7
Msex2.02504,TTLL6B
Msex2.02507,l(3)neo43
Msex2.02506,Ubi-p63E
Msex2.02509,Csk
Msex2.02508,abo
Msex2.02058,Mbs
Msex2.13215,spn-A
Msex2.13213,dsx
Msex2.13212,CG31121
Msex2.12034,Atg4b
Msex2.12035,CG17565
Msex2.12036,MED6
Msex2.12037,CG3735
Msex2.12030,shams
Msex2.12031,CG13601
Msex2.12032,CG5380
Msex2.12033,CG12713
Msex2.12038,inaF-D
Msex2.09308,NoSymbolFound
Msex2.09309,Rga
Msex2.06650,Sep4
Msex2.12008,Mpcp1
Msex2.03647,Br140
Msex2.03646,Mst85C
Msex2.03391,spz4
Msex2.09307,Nmdar1
Msex2.15052,CG12970
Msex2.03670,Cals
Msex2.03672,erm
Msex2.03673,Pur-alpha
Msex2.03902,CG15239
Msex2.12007,Surf4
Msex2.03678,aru
Msex2.03679,CG10939
Msex2.12006,CG3262
Msex2.14883,SmE
Msex2.14939,CG42382
Msex2.10964,CG4813
Msex2.03010,RpL29
Msex2.03013,eIF3d1
Msex2.14080,CG32668
Msex2.14088,Naprt
Msex2.00288,CG34313
Msex2.00289,row
Msex2.01877,CG43658
Msex2.00285,Patronin
Msex2.00286,CG11808
Msex2.00287,CG34132
Msex2.00282,trn
Msex2.00283,Tctp
Msex2.11104,Ir40a
Msex2.11101,Srp72
Msex2.11100,CG1542
Msex2.11102,Klp67A
Msex2.11109,SIFaR
Msex2.01889,Eip63F-1
Msex2.13858,CG11905
Msex2.01881,sog
Msex2.01880,Spat
Msex2.01883,CG11109
Msex2.01882,Arf79F
Msex2.01885,Trm7-32
Msex2.01887,ND-B14
Msex2.01730,Gr22d
Msex2.04549,Drp1
Msex2.04548,CG9578
Msex2.04543,CG43155
Msex2.09505,Fcp1
Msex2.09506,cert
Msex2.04540,Cyp4g15
Msex2.09500,CG3894
Msex2.09502,nito
Msex2.09503,Pex11
Msex2.00428,CG17271
Msex2.05418,Got2
Msex2.05419,Wdfy2
Msex2.00421,CG8300
Msex2.05142,kel
Msex2.00423,Usf
Msex2.05412,Dhc36C
Msex2.05145,Mtp
Msex2.05410,qua
Msex2.05411,mEFTs
Msex2.08637,blanks
Msex2.08636,dx
Msex2.08631,eIF6
Msex2.08630,Usp30
Msex2.08633,CG34417
Msex2.11708,Irp-1A
Msex2.10502,xit
Msex2.10503,CG30338
Msex2.10506,CSN3
Msex2.10507,Urod
Msex2.10504,APC4
Msex2.10768,CG7206
Msex2.10766,CG18596
Msex2.10767,Mulk
Msex2.06149,CG17712
Msex2.06148,CG11267
Msex2.06141,CG13251
Msex2.06140,CG6216
Msex2.06143,emc
Msex2.06142,Sf3b3
Msex2.10847,CG11069
Msex2.07810,CG5757
Msex2.07811,peng
Msex2.07813,lic
Msex2.07814,l(2)k05819
Msex2.07815,wash
Msex2.07816,dome
Msex2.07361,Aprt
Msex2.07819,RNaseZ
Msex2.07369,CG6321
Msex2.13688,Golgin104
Msex2.13689,Nse4
Msex2.05305,CG11447
Msex2.13344,CG34283
Msex2.12623,noc
Msex2.12625,DPCoAC
Msex2.12629,SREBP
Msex2.13530,Med
Msex2.13531,SIDL
Msex2.13538,CG15890
Msex2.03240,CG1943
Msex2.03243,HHEX
Msex2.09882,CG17698
Msex2.03245,HGTX
Msex2.03244,NK7.1
Msex2.03247,CG10710
Msex2.03246,CG8036
Msex2.09889,CG13760
Msex2.09888,Coq5
Msex2.12487,Tsp26A
Msex2.12486,CG17292
Msex2.12481,Sms
Msex2.12480,Chmp1
Msex2.12482,eIF4E1
Msex2.11113,Cad89D
Msex2.10849,pcm
Msex2.11117,CG4375
Msex2.14504,eIF3i
Msex2.14502,His1:CG31617
Msex2.10848,Nf-YB
Msex2.02261,CG4829
Msex2.14509,Brd8
Msex2.04730,NoSymbolFound
Msex2.04731,tn
Msex2.04732,5-HT1A
Msex2.04734,Pex14
Msex2.04043,kn
Msex2.04736,C1GalTA
Msex2.04737,tum
Msex2.04738,Pkc53E
Msex2.04739,CG31908
Msex2.04048,Rab39
Msex2.04049,Trs31
Msex2.13995,DEF8
Msex2.13997,Atf-2
Msex2.13992,cora
Msex2.00635,CG11791
Msex2.00632,SKIP
Msex2.11595,dati
Msex2.11592,CG11768
Msex2.11593,raskol
Msex2.11590,CG4554
Msex2.09719,CG6094
Msex2.10977,CG42361
Msex2.09249,Piezo
Msex2.09248,mxt
Msex2.09711,lt
Msex2.09710,raptor
Msex2.09245,uzip
Msex2.09244,CG6758
Msex2.09243,fand
Msex2.09714,CG5613
Msex2.09717,Cluap1
Msex2.04954,Pde6
Msex2.04957,E(bx)
Msex2.04953,CG5447
Msex2.04958,AIMP2
Msex2.11372,Mybbp1A
Msex2.11370,Rad9
Msex2.11371,CG40045
Msex2.11376,140up
Msex2.11377,heph
Msex2.11374,Sirt4
Msex2.11379,Rtnl1
Msex2.06772,fng
Msex2.06770,CG32432
Msex2.06776,corto
Msex2.05609,CG4025
Msex2.05608,spel1
Msex2.05603,CG10425
Msex2.05602,CG14280
Msex2.05601,CG8541
Msex2.05600,Fnta
Msex2.05607,Diap1
Msex2.05604,Diap2
Msex2.06439,CG15093
Msex2.07921,Or7a
Msex2.06809,eIF3m
Msex2.07435,CG6479
Msex2.13051,mRpL54
Msex2.13050,CG10252
Msex2.01278,bin3
Msex2.01279,ncd
Msex2.06556,parvin
Msex2.01277,MsR1
Msex2.06802,CG14757
Msex2.06555,Evi5
Msex2.06804,nompB
Msex2.06805,NoSymbolFound
Msex2.06550,Hk
Msex2.06551,msl-1
Msex2.07608,mute
Msex2.07605,Dhpr
Msex2.07606,NijC
Msex2.07601,CG10512
Msex2.06431,stv
Msex2.06430,dor
Msex2.02077,msk
Msex2.02076,CG42271
Msex2.02070,TrpA1
Msex2.02073,NoSymbolFound
Msex2.13231,CG2540
Msex2.13233,CG2747
Msex2.02078,Prp4k
Msex2.06436,tty
Msex2.01727,Gr22c
Msex2.02387,Pop1
Msex2.02386,CG1677
Msex2.02384,Pect
Msex2.02383,Mrtf
Msex2.02381,pip
Msex2.02380,Gbs-76A
Msex2.07631,wun
Msex2.04559,pns
Msex2.04551,pain
Msex2.03658,CG33521
Msex2.03659,CG10600
Msex2.03652,CG31999
Msex2.03653,Gat
Msex2.03651,CG10185
Msex2.03656,Sr-CII
Msex2.03657,Cadps
Msex2.03385,Shaw
Msex2.03387,CG17264
Msex2.03380,Mettl14
Msex2.12019,sut2
Msex2.12017,CG8323
Msex2.03388,Dlg5
Msex2.03389,chico
Msex2.14313,GEFmeso
Msex2.14311,Trf
Msex2.14310,Ist1
Msex2.14317,CalpA
Msex2.02923,Ent1
Msex2.02922,tank
Msex2.02921,CG3164
Msex2.02926,MED17
Msex2.02925,Rsf1
Msex2.02924,bark
Msex2.05179,CG17691
Msex2.12438,CG5902
Msex2.03038,CG2493
Msex2.03039,Atac2
Msex2.03034,Oatp26F
Msex2.03035,CG7568
Msex2.03033,Vps25
Msex2.03031,Unc-89
Msex2.09247,Miga
Msex2.10979,CG42307
Msex2.12711,Ten-a
Msex2.12861,CG17807
Msex2.00410,Sec3
Msex2.04977,Khc
Msex2.09241,CG2200
Msex2.11165,CG9447
Msex2.05172,Alas
Msex2.11162,Amacr
Msex2.11161,JMJD4
Msex2.11160,CG11399
Msex2.12434,bru3
Msex2.12719,Chrac-14
Msex2.12340,Alr
Msex2.04383,ND-B18
Msex2.04382,U2A
Msex2.04384,CG4049
Msex2.04386,Dera
Msex2.12868,RpL21
Msex2.05388,CG5973
Msex2.05389,CG5958
Msex2.05386,nero
Msex2.05387,CG10237
Msex2.05384,gw
Msex2.05385,glob1
Msex2.05382,CG10254
Msex2.05383,CG5262
Msex2.05380,CG31251
Msex2.05381,TBC1D16
Msex2.08433,GCS1
Msex2.08431,mRpL43
Msex2.08430,CG42390
Msex2.08437,C901
Msex2.08435,FucT6
Msex2.08439,Nep5
Msex2.08381,POSH
Msex2.08380,CG4975
Msex2.01863,CG14397
Msex2.01710,Teh2
Msex2.01861,CG34136
Msex2.01860,tadr
Msex2.01867,CG6724
Msex2.01866,NoSymbolFound
Msex2.01865,ppk13
Msex2.01864,ppk24
Msex2.01868,shep
Msex2.04569,NoSymbolFound
Msex2.04568,MED7
Msex2.09520,RhoGEF2
Msex2.04565,CG32485
Msex2.04564,CG3819
Msex2.04566,Btk29A
Msex2.04561,rdgA
Msex2.04560,egh
Msex2.09528,senju
Msex2.09529,alc
Msex2.00402,SLC22A
Msex2.00403,hng2
Msex2.05166,Vps51
Msex2.05164,CG13409
Msex2.05165,TBC1D5
Msex2.00408,Cln7
Msex2.05169,CAH9
Msex2.08657,Cont
Msex2.08655,CG14073
Msex2.08653,CG6000
Msex2.08651,Jafrac2
Msex2.08650,trr
Msex2.08659,Kul
Msex2.10579,CG11403
Msex2.10564,IFT57
Msex2.10566,mesh
Msex2.10560,CG14985
Msex2.10561,insc
Msex2.10562,RpS16
Msex2.10563,sqa
Msex2.10570,CG7264
Msex2.10987,Prosalpha5
Msex2.09382,iav
Msex2.10781,ppk3
Msex2.09387,CG3918
Msex2.09384,Psi
Msex2.09385,Dek
Msex2.09389,CG13202
Msex2.06126,zfh2
Msex2.06125,Hr4
Msex2.06123,PpV
Msex2.06122,CG10874
Msex2.06121,CG14478
Msex2.06120,Sec63
Msex2.06129,CG5466
Msex2.06128,CG5339
Msex2.07839,CG6066
Msex2.07837,nAChRalpha3
Msex2.09975,CG12848
Msex2.03337,CG9596
Msex2.03336,RpS5a
Msex2.09978,NaCP60E
Msex2.10800,DCTN1-p150
Msex2.13555,Ho
Msex2.13556,Mtap
Msex2.13557,simj
Msex2.13550,Ppox
Msex2.13551,DCTN4-p62
Msex2.13558,Ski6
Msex2.13559,exu
Msex2.00667,CG12096
Msex2.00665,BubR1
Msex2.02710,CG30089
Msex2.02243,CG13954
Msex2.02712,Mur89F
Msex2.02241,Mapmodulin
Msex2.02246,CG34031
Msex2.02716,CG7730
Msex2.02248,Strip
Msex2.02249,Abi
Msex2.12209,GC
Msex2.12208,Baldspot
Msex2.15523,CecC
Msex2.12200,CG11318
Msex2.12207,ko
Msex2.12206,CG32100
Msex2.15525,CG13323
Msex2.04710,strat
Msex2.04717,slbo
Msex2.04715,Fatp3
Msex2.14120,l(2)37Cg
Msex2.14125,Ncoa6
Msex2.00657,CG8745
Msex2.00656,CG34401
Msex2.00655,Herc4
Msex2.00654,CG43897
Msex2.00653,sNPF
Msex2.00652,Vps13
Msex2.00651,CTPsyn
Msex2.00650,snRNP-U1-C
Msex2.11571,CG30172
Msex2.11572,CG14200
Msex2.11574,CG3168
Msex2.11575,ash1
Msex2.11576,CG10050
Msex2.11577,RpS15
Msex2.11579,CG11231
Msex2.09260,Top1
Msex2.09263,Prosbeta2
Msex2.09262,rt
Msex2.09265,CG8475
Msex2.09264,shv
Msex2.04978,mys
Msex2.04979,Rbfox1
Msex2.04976,CG5439
Msex2.09268,CYLD
Msex2.04974,Pdf
Msex2.04975,Pitslre
Msex2.04972,CG14618
Msex2.04973,Argl
Msex2.04970,Cht10
Msex2.04971,CG7632
Msex2.11314,beg
Msex2.11315,CG7461
Msex2.11316,Hydr1
Msex2.11310,CG33523
Msex2.11312,Xpac
Msex2.11313,CG18081
Msex2.11318,CG3793
Msex2.11319,IntS9
Msex2.12518,CG17839
Msex2.05593,CG13408
Msex2.05590,CG42554
Msex2.06718,tutl
Msex2.06719,Synj
Msex2.06714,mei-9
Msex2.06715,nonA
Msex2.06710,crp
Msex2.06711,Spn28Dc
Msex2.06712,CG14341
Msex2.06713,Pcmt
Msex2.07441,dgt3
Msex2.07440,stl
Msex2.07999,olf186-M
Msex2.07998,CG6154
Msex2.07995,CG11247
Msex2.07994,CG13634
Msex2.07449,MTPAP
Msex2.07996,CG30394
Msex2.07990,tos
Msex2.07993,Tpc1
Msex2.07992,MED10
Msex2.05629,wgn
Msex2.05628,CycA
Msex2.05625,Liprin-beta
Msex2.05624,CG12769
Msex2.05627,Edem1
Msex2.05621,CG13690
Msex2.05623,CG32549
Msex2.13039,CG5292
Msex2.13038,CG5285
Msex2.13036,SamDC
Msex2.13035,Rcd4
Msex2.13034,CG2701
Msex2.03926,CG12851
Msex2.06820,ZnT77C
Msex2.01293,inaE
Msex2.01295,CG13531
Msex2.06824,CG8435
Msex2.06825,CycD
Msex2.01298,CG10465
Msex2.01299,CG10395
Msex2.10041,msl-2
Msex2.10040,Lapsyn
Msex2.10047,CG1814
Msex2.10045,CG2145
Msex2.10044,dyl
Msex2.07197,NoSymbolFound
Msex2.07196,PlexA
Msex2.07190,Sply
Msex2.07192,kat-60L1
Msex2.07198,CG3703
Msex2.07669,Patr-1
Msex2.02019,l(2)37Cc
Msex2.02017,Rpn8
Msex2.02016,CG8891
Msex2.02015,atk
Msex2.02013,CG5955
Msex2.02012,Tmem18
Msex2.02011,Glg1
Msex2.02010,DNApol-alpha60
