GeneName	Orthologs	GeneSymbolOrthologs	Dmel_paralogs	GeneSymbolDmel_paralogs	ParalogsThatHaveOrthologs	GeneSymbolParalogs
AGAP011725	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011726	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011727	FBgn0036341	Syx13	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011728	FBgn0264711	CG43980	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP028535	geneIDnotMapped	-	-	-	-	-
AGAP011729	FBgn0030511	CG11158	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011730	FBgn0000115	Arl1	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011731	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011732	FBgn0259824	Hip14	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011733	FBgn0034902	CG5532	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011734	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011735	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011736	FBgn0039620	wat	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011737	FBgn0034903	sona	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011738	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP028536	geneIDnotMapped	-	-	-	-	-
AGAP011739	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011740	FBgn0034519	BORCS7	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011741	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011742	FBgn0035766	eco	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011743	FBgn0036931	CG14183	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011744	FBgn0036763	TrpRS-m	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011745	FBgn0040238	Best1	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011746	FBgn0026573	ADD1	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011747	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011748	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011749	FBgn0035710	SP1173	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011750	FBgn0014417	CG13397	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011751	FBgn0040475	SH3PX1	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011752	FBgn0261882	NoSymbolFound	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011753	FBgn0029522	CG13373	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011754	FBgn0030343	ATP7	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011755	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011756	FBgn0032059	PrBP	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011757	FBgn0039270	PQBP1	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011758	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011759	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011760	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011761	FBgn0039218	Rpb10	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011762	FBgn0086708	stv	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011763	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011764	FBgn0034184	CG9646	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011765	FBgn0026721	fat-spondin	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011766	FBgn0033844	bbc	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011767	FBgn0031633	Fnta	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011768	FBgn0004638	drk	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011769	FBgn0038827	Fancd2	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011770	FBgn0000119	arr	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011771	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011772	FBgn0260991	Incenp	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011773	FBgn0036324	CG12520	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011774	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011775	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011776	FBgn0028484	Ack	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP028537	geneIDnotMapped	-	-	-	-	-
AGAP011777	FBgn0003517	sta	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011778	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011779	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011780	FBgn0058160	CG40160	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011781	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011782	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011783	FBgn0032213	CG5390	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011784	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011785	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011786	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011787	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011788	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011789	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011790	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011791	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP028725	geneIDnotMapped	-	-	-	-	-
AGAP011792	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011793	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011794	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011795	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011796	FBgn0036319	Ent3	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011797	FBgn0036318	Wbp2	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011798	FBgn0027572	CG5009	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011799	FBgn0034231	APC10	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011800	FBgn0023477	Taldo	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011801	FBgn0036671	CG9951	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011802	FBgn0023170	RpL39	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011803	FBgn0025336	CG4882	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011804	FBgn0041588	eIF2D	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011805	FBgn0013307	Odc1	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011806	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011807	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011808	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011809	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011810	FBgn0034500	CG11200	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011811	FBgn0033679	CG8888	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011812	FBgn0038983	CG5326	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP028416	geneIDnotMapped	-	-	-	-	-
AGAP011813	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011814	FBgn0033653	CG13192	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011815	FBgn0033654	Sobp	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011816	FBgn0259832	CG34229	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011817	FBgn0033899	CG13016	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011818	FBgn0037241	CG14646	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011819	FBgn0033656	S2P	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP028417	geneIDnotMapped	-	-	-	-	-
AGAP028418	geneIDnotMapped	-	-	-	-	-
AGAP011820	FBgn0040751	CG13018	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011821	FBgn0033900	CysRS-m	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011822	FBgn0033698	CG8858	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011823	FBgn0031107	HERC2	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP028538	geneIDnotMapped	-	-	-	-	-
AGAP011824	FBgn0033518	Prx2540-2	['FBgn0033518', 'FBgn0033520', 'FBgn0033521']	['Prx2540-2', 'Prx2540-1', 'CG12896']	NoNeedOfParalogs	NULL
AGAP011825	FBgn0085271	CG34242	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011826	FBgn0030610	CG9065	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011827	FBgn0025352	Mtpbeta	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011828	FBgn0013770	Cp1	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011829	FBgn0033961	ND-B15	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011830	FBgn0025885	Inos	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011831	FBgn0032701	CG10341	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011832	FBgn0033624	CG12384	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011833	FBgn0033879	Echs1	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011834	FBgn0033883	CG16935	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011835	FBgn0027495	Smyd4-4	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011836	FBgn0033685	OSCP1	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011837	FBgn0035271	CG2021	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011838	FBgn0034051	Mlf	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011839	FBgn0036199	Bmcp	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011840	FBgn0000489	Pka-C3	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011841	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011842	FBgn0030306	Spase25	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011843	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011844	FBgn0035824	CG8281	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011845	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011846	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011847	FBgn0032130	brwl	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011848	FBgn0053110	CG33110	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011849	FBgn0015754	Lis-1	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011850	FBgn0034086	CG8441	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011851	FBgn0034087	clu	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP028596	geneIDnotMapped	-	-	-	-	-
AGAP011852	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011854	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011858	FBgn0034033	CG8204	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011859	FBgn0034417	CG15117	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011870	FBgn0033438	Mmp2	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011871	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011872	FBgn0023143	Uba1	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011874	FBgn0263076	Klp54D	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011875	FBgn0034240	MESR4	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011876	FBgn0034814	CG9890	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011877	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011878	FBgn0039128	CG13599	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011879	FBgn0037045	CG10584	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011880	FBgn0036386	CG8833	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011881	FBgn0020887	Su(z)12	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011883	FBgn0035181	CG9205	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011884	FBgn0260456	CG4806	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011885	FBgn0053260	Tsen34	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011886	FBgn0031639	mRpS2	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011887	FBgn0039301	Nup37	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011888	FBgn0031051	Ranbp21	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011889	FBgn0033994	CG7544	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011890	FBgn0013987	MAPk-Ak2	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011891	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011892	FBgn0034573	CG3295	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011893	FBgn0033889	CG6701	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011895	FBgn0033428	Urod	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011896	FBgn0025286	NoSymbolFound	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011897	FBgn0261016	clos	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011898	FBgn0050338	CG30338	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011899	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011900	FBgn0034748	CG17807	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011901	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011902	FBgn0003254	rib	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011904	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011905	FBgn0031716	CG14015	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011906	FBgn0036916	Mtr3	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011907	FBgn0040534	Sf3b5	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011908	FBgn0050371	CG30371	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011909	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011910	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011911	FBgn0034484	CG11044	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011912	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011913	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011914	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011915	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011916	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011917	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011918	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011919	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011920	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011921	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011922	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011923	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011924	FBgn0038165	Task6	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011925	FBgn0036449	bmm	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011926	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011927	FBgn0011723	byn	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP028680	geneIDnotMapped	-	-	-	-	-
AGAP028679	geneIDnotMapped	-	-	-	-	-
AGAP011929	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011930	FBgn0033337	CG8272	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011931	FBgn0036557	mRpS31	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011932	FBgn0263601	mib1	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011933	FBgn0037021	CG11399	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011934	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011935	FBgn0036851	CG14082	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011936	FBgn0260653	serp	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011937	FBgn0261341	verm	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011938	FBgn0010397	LamC	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011939	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011940	FBgn0034997	CG3376	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP028630	geneIDnotMapped	-	-	-	-	-
AGAP028539	geneIDnotMapped	-	-	-	-	-
AGAP011943	FBgn0034994	Ir60a	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011944	FBgn0037116	Als2	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011945	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011946	FBgn0036990	mRpL15	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011947	FBgn0036995	atk	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011948	FBgn0036997	CG5955	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011949	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011950	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011951	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011952	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011954	FBgn0259210	prom	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP028021	FBgn0263850	CG43711	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011955	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011956	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011957	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011958	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP028038	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011959	FBgn0015721	ktub	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011960	FBgn0040337	CG3021	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011961	FBgn0026143	Cdc45	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011962	FBgn0260659	CG42542	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011963	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011964	FBgn0036509	CG7739	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011965	FBgn0041161	NoSymbolFound	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011966	FBgn0002542	lds	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011967	FBgn0037712	CG16789	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011968	FBgn0036937	Ir76b	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011969	FBgn0036936	CG14185	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011970	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011971	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011972	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP028030	FBgn0036935	CG14186	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011973	FBgn0038951	CG5380	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011974	FBgn0020377	Sr-CII	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011975	FBgn0036512	CG16979	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP028193	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011976	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011977	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP028540	geneIDnotMapped	-	-	-	-	-
AGAP028130	FBgn0052204	CG32204	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011978	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011979	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011980	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011981	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP028541	geneIDnotMapped	-	-	-	-	-
AGAP011982	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011983	FBgn0036848	Naxd	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011984	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011985	FBgn0003900	twi	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011987	FBgn0033985	CG10257	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011988	FBgn0261854	aPKC	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011989	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011990	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011991	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011992	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP011993	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP028211	FBgn0260222	CG42496	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011994	FBgn0050290	Ppcdc	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011995	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP028099	FBgn0261823	Asx	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011996	FBgn0039303	CG11857	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP011997	FBgn0032597	CG17904	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012000	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012001	FBgn0261930	vnd	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012002	FBgn0036520	CG13449	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012003	FBgn0031227	CG3709	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012004	FBgn0033316	Gle1	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012005	FBgn0036888	CG9330	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012006	FBgn0036801	MYPT-75D	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP028185	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012007	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012008	FBgn0010620	CG10939	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP028012	FBgn0019938	RpI1	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012009	FBgn0262519	Mi-2	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012010	FBgn0027621	Pfrx	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012011	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012012	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012013	FBgn0044324	Chro	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012014	FBgn0010348	Arf79F	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012015	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP027992	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012016	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012017	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012018	FBgn0037092	M6	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012019	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP028229	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012020	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP028069	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP028102	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP028183	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP028075	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012022	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012021	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP027981	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012023	FBgn0000307	chif	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012026	FBgn0260798	Gprk1	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP028157	NoDirectOrtholog	NULL	-	-	FBgn0031381	Npc2a
AGAP028159	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP028108	FBgn0031381	Npc2a	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP028194	FBgn0039965	Coa7	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP028148	FBgn0037610	CG8043	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP028174	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP028040	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP028107	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP027985	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012027	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP028005	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP028133	FBgn0030753	rngo	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012028	FBgn0052446	Atox1	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012029	FBgn0036354	Poc1	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012030	FBgn0036853	mRpL21	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP028598	geneIDnotMapped	-	-	-	-	-
AGAP012031	FBgn0036377	CG10710	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP028091	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012032	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012033	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012034	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP028167	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP028007	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012037	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012038	FBgn0046114	Gclm	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012039	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012040	NoDirectOrtholog	NULL	-	-	NoParalogsFound	-
AGAP012041	FBgn0015299	Ssb-c31a	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012042	FBgn0032000	CG8372	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012043	FBgn0085228	CG34199	NoParalogs	-	NoNeedOfParalogs	NULL
AGAP012044	FBgn0266518	Dpit47	NoParalogs	-	NoNeedOfParalogs	NULL
