AAEL007235,Ucp4A
AAEL003255,CG13155
AAEL003253,grass
AAEL003259,Cpr49Ae
AAEL001100,aay
AAEL015267,Ir10a
AAEL004705,CG8236
AAEL004707,HHEX
AAEL004700,CG7236
AAEL004701,Ass
AAEL004702,Flacc
AAEL014799,CG5676
AAEL004709,CG7115
AAEL011562,Dronc
AAEL011560,CG11263
AAEL011561,CG33969
AAEL011567,CG17746
AAEL011564,Pcyt1
AAEL011568,Srp54
AAEL009506,RpS20
AAEL009501,CG8778
AAEL009503,CG5567
AAEL000289,Gasz
AAEL000288,miple1
AAEL000938,CG17807
AAEL000285,CG42272
AAEL000284,CG9643
AAEL000934,Clc
AAEL000933,CG6903
AAEL000931,Alp4
AAEL000282,Syx17
AAEL011306,MICU3
AAEL011307,spn-D
AAEL011302,AnxB9
AAEL011303,CG11447
AAEL011301,CG8281
AAEL011309,r-l
AAEL014130,Abi
AAEL014136,CG12420
AAEL014134,Kif19A
AAEL014135,CG12817
AAEL001888,Reph
AAEL001738,CG8519
AAEL001736,Prdm13
AAEL001881,CG8134
AAEL001734,bab1
AAEL001883,MED17
AAEL001886,CG31365
AAEL001887,Gs1
AAEL006708,hh
AAEL006707,Invadolysin
AAEL006705,CG11044
AAEL006703,CG30371
AAEL000429,CG11983
AAEL000428,v
AAEL010964,CG7974
AAEL010966,Uch-L5
AAEL000421,temp
AAEL010968,CG3434
AAEL000422,CG3071
AAEL000425,Gen
AAEL000427,Gpat4
AAEL004967,CG17029
AAEL008638,Cyp49a1
AAEL008634,bsk
AAEL008635,CG5853
AAEL008636,CG2063
AAEL008630,cta
AAEL001080,Rtc1
AAEL001085,CG7950
AAEL001088,GalT1
AAEL001089,Rpp14a
AAEL006634,CG10932
AAEL006838,CG14561
AAEL006839,l(3)73Ah
AAEL006834,CG7470
AAEL006835,pain
AAEL006836,Dhpr
AAEL006830,y
AAEL006832,fz3
AAEL006833,Scsalpha1
AAEL008759,Cpr50Ca
AAEL008758,Fsn
AAEL008752,CG6280
AAEL008757,CG4382
AAEL008756,Trissin
AAEL008755,RpII33
AAEL008754,resilin
AAEL001680,CG13024
AAEL000644,CG12355
AAEL005619,dpr7
AAEL005610,ATPsynB
AAEL005615,CG14195
AAEL005617,UGP
AAEL009296,cid
AAEL013688,CG12134
AAEL013683,Cpr11A
AAEL013684,CG42258
AAEL009088,lqf
AAEL009089,Atg12
AAEL002069,beg
AAEL002068,CG8728
AAEL009080,msk
AAEL002061,CG6230
AAEL009084,CG5645
AAEL009085,RhoGAP68F
AAEL002065,Hmgcl
AAEL012621,B52
AAEL012624,poly
AAEL013533,Ip259
AAEL013531,CycK
AAEL013530,Cul1
AAEL013537,CG15239
AAEL013536,RpS27A
AAEL013535,Arr1
AAEL013534,Rbcn-3B
AAEL013539,dock
AAEL013538,Jasper
AAEL000643,CG11247
AAEL009880,aurA
AAEL009881,CG9492
AAEL009882,Caf1-55
AAEL009883,NoSymbolFound
AAEL002399,Got2
AAEL009887,Wdr33
AAEL009888,NKCC
AAEL002394,CG13293
AAEL002390,Kr-h1
AAEL002392,CG13917
AAEL012952,AANATL7
AAEL012950,ND-42
AAEL012489,Nup133
AAEL000487,CG7785
AAEL003622,CG9747
AAEL004399,Lgr1
AAEL017363,RpII215
AAEL004396,TyrR
AAEL002938,NoSymbolFound
AAEL014303,Nlg2
AAEL014302,CG30427
AAEL002933,Rrp47
AAEL002932,fend
AAEL002935,IPIP
AAEL002934,Spt7
AAEL001352,Saf-B
AAEL000634,GlcT
AAEL004572,Eip93F
AAEL004571,CG14231
AAEL004570,CG31109
AAEL004577,CG1662
AAEL004576,CG6294
AAEL004575,Ect3
AAEL004574,Sgf11
AAEL001356,Rbp1
AAEL005744,pit
AAEL011179,Su(z)2
AAEL011178,Psc
AAEL011171,RabX1
AAEL011173,CG16896
AAEL009531,Npc1b
AAEL012000,CG42372
AAEL000637,CG32295
AAEL005374,Snmp1
AAEL005375,Ugt50B3
AAEL000630,CCAP
AAEL005379,CG43778
AAEL000631,gcm2
AAEL000633,Tollo
AAEL009538,cv
AAEL011578,fray
AAEL011903,NoSymbolFound
AAEL011799,NoSymbolFound
AAEL009719,CG13605
AAEL009712,CG3308
AAEL011794,Rca1
AAEL010223,Pisd
AAEL010221,pnr
AAEL010226,NoSymbolFound
AAEL010227,Dpm1
AAEL010556,CG17669
AAEL010557,CG33557
AAEL010559,NoSymbolFound
AAEL012439,CG9577
AAEL017029,Hn
AAEL001275,NUCB1
AAEL001273,Sec24AB
AAEL001271,CG17032
AAEL001270,CG11127
AAEL006135,Cbp20
AAEL006137,Spn85F
AAEL006136,CG31326
AAEL006133,CG1890
AAEL006139,CG10444
AAEL007848,Tbc1d15-17
AAEL007845,Rab5
AAEL007842,wls
AAEL018228,CG10019
AAEL013230,deltaCOP
AAEL013940,Caf1-105
AAEL013941,CG44001
AAEL018226,hang
AAEL018227,CG32085
AAEL013236,Prosbeta5
AAEL018225,sno
AAEL002724,unc-13-4A
AAEL012548,CG10747
AAEL002235,CG31678
AAEL002232,NoSymbolFound
AAEL002721,emc
AAEL012019,muskelin
AAEL002723,PMP34
AAEL012016,TM9SF3
AAEL012014,Ldh
AAEL012545,PCNA
AAEL012547,CG9044
AAEL012546,Mcm6
AAEL007268,kibra
AAEL007260,CG7368
AAEL007261,Bet1
AAEL007267,Spt3
AAEL007264,CG12278
AAEL008556,Prp4k
AAEL007581,RfC38
AAEL004768,CG9117
AAEL004769,Cpr30F
AAEL004766,TbCMF46
AAEL004761,CG42366
AAEL011096,CG7650
AAEL009526,Ccdc56
AAEL011095,Pgant2
AAEL011092,lid
AAEL011093,homer
AAEL011090,P32
AAEL011548,Cap-D3
AAEL011098,nmdyn-D7
AAEL011099,CG16848
AAEL004183,CG8003
AAEL004180,Coq6
AAEL009822,mtt
AAEL008389,CG42672
AAEL008384,ABCA
AAEL008382,Tdrd3
AAEL014113,sPLA2
AAEL001863,CG8560
AAEL001860,CG42557
AAEL001715,CCT5
AAEL001716,tho2
AAEL001865,ND-PDSW
AAEL001719,Rhau
AAEL001869,bur
AAEL006721,Nc73EF
AAEL010949,CG10903
AAEL006723,axed
AAEL006724,CG10646
AAEL006725,Sf3b2
AAEL006727,AIMP2
AAEL006728,vih
AAEL010942,Klp64D
AAEL010941,tty
AAEL010946,shd
AAEL010945,Vps37B
AAEL000403,HEATR2
AAEL004983,Ing5
AAEL004981,CG31729
AAEL000407,ksh
AAEL004987,CG5867
AAEL004984,Cand1
AAEL004985,Pex19
AAEL004988,Pgk
AAEL004989,CG4896
AAEL008656,meigo
AAEL008654,CG10005
AAEL008652,CCAP-R
AAEL008653,CG10068
AAEL008650,CG10098
AAEL008651,CG31248
AAEL011329,CG7044
AAEL011898,Agpat2
AAEL011320,CG43324
AAEL011897,obst-E
AAEL011323,Hnf4
AAEL011892,CG13192
AAEL011325,AkhR
AAEL011890,CG14984
AAEL010059,pix
AAEL010058,Gr63a
AAEL006854,Npc2a
AAEL006587,CG14721
AAEL006582,SERCA
AAEL010051,CG13850
AAEL010050,CG13857
AAEL010053,pinta
AAEL010052,CG15602
AAEL010054,msl-3
AAEL010057,Cdc37
AAEL006859,mip40
AAEL008739,Shc
AAEL008738,mahe
AAEL008736,Ssb-c31a
AAEL008730,scra
AAEL008733,CG2091
AAEL005581,SerT
AAEL017499,svr
AAEL005583,nes
AAEL007451,CG9945
AAEL007982,Eogt
AAEL007453,sob
AAEL007452,CG13124
AAEL007987,Sec63
AAEL007988,Bet3
AAEL005633,Neto
AAEL005631,mip130
AAEL005630,Rsph4a
AAEL005635,Nup50
AAEL005634,CG5921
AAEL005639,Edem1
AAEL005638,RpL7-like
AAEL006240,CG1637
AAEL007189,cu
AAEL007188,CG17083
AAEL007185,Trs23
AAEL007674,CG11099
AAEL007677,CG17294
AAEL007670,tio
AAEL007672,mof
AAEL007679,CG13994
AAEL009062,CG4587
AAEL009061,swm
AAEL002009,nSMase
AAEL009067,Mtr4
AAEL009068,Drp1
AAEL002006,nesd
AAEL002002,mRpS18B
AAEL000419,Cpr57A
AAEL000414,Optix
AAEL000065,CG17829
AAEL000417,CG13907
AAEL004973,NoSymbolFound
AAEL012973,kri
AAEL012974,ppl
AAEL012975,CG1246
AAEL000411,CG11986
AAEL012865,Non2
AAEL000459,Tango9
AAEL008489,CG10126
AAEL014717,AdipoR
AAEL003352,NoSymbolFound
AAEL003602,CG13287
AAEL003605,Sf3b1
AAEL003606,Paics
AAEL004371,Snr1
AAEL004376,CG7849
AAEL004379,Pi4KIIalpha
AAEL004378,eIF1A
AAEL014325,Rpn5
AAEL002913,Pmp70
AAEL002912,Ciao1
AAEL012208,CG12883
AAEL002910,CG6962
AAEL012202,TfIIEalpha
AAEL002919,CG10257
AAEL002918,CenB1A
AAEL012206,tau
AAEL012207,Mlc1
AAEL004515,crok
AAEL004517,CG6583
AAEL004511,CG4627
AAEL004513,CG6927
AAEL011157,ND-B14.5A
AAEL011156,CG14817
AAEL011155,CG11679
AAEL011150,Sxl
AAEL011158,CG4199
AAEL013407,Cat
AAEL005354,robl
AAEL005355,CG17768
AAEL005356,hrg
AAEL010049,CG12880
AAEL005353,CG7272
AAEL005358,qkr54B
AAEL001277,ArfGAP3
AAEL000658,CG33120
AAEL000656,pan
AAEL000654,Pgant6
AAEL000652,GNBP3
AAEL000874,Dark
AAEL000875,PQBP1
AAEL005139,CG17260
AAEL005130,CG12769
AAEL005133,BBS8
AAEL005134,CG7402
AAEL005137,Tsp74F
AAEL009206,CG7458
AAEL010045,CG12259
AAEL010205,Mf
AAEL010206,CG3534
AAEL010200,CG10948
AAEL001293,CG5958
AAEL001299,Ptr
AAEL008183,Sas-4
AAEL006118,mRpL55
AAEL006117,mRpL12
AAEL006116,ca
AAEL006115,eIF3k
AAEL006442,CG10348
AAEL006445,PIG-Wb
AAEL006446,Tps1
AAEL007862,Saf6
AAEL007865,Strip
AAEL007868,UQCR-14
AAEL017004,Usp12-46
AAEL012783,CG31233
AAEL013782,CG31913
AAEL013783,Fnta
AAEL013968,Nsun2
AAEL013969,Sdc
AAEL013964,mRpL20
AAEL013965,Iru
AAEL013966,ClpX
AAEL018207,NoSymbolFound
AAEL017263,CG2918
AAEL013961,CG6503
AAEL013962,mus101
AAEL013963,sigmar
AAEL007245,Wdr62
AAEL007247,bug
AAEL007240,CdGAPr
AAEL007241,lmgA
AAEL007243,CG2059
AAEL002056,CG10189
AAEL002219,Dnz1
AAEL002748,AspRS
AAEL009291,CG4572
AAEL009295,Lac
AAEL009294,fwd
AAEL002216,alc
AAEL002217,CG7179
AAEL003161,AdSS
AAEL003160,CG6770
AAEL003163,fkh
AAEL003162,capu
AAEL003165,primo-1
AAEL004740,CG10628
AAEL004741,bib
AAEL004743,MRP
AAEL004744,Nf-YB
AAEL014176,Ppcs
AAEL014177,Arl1
AAEL003650,CG7379
AAEL005830,Prosalpha4
AAEL005832,Pdcd4
AAEL005834,Dop1R2
AAEL001843,Snoo
AAEL005839,CG6330
AAEL011527,eIF2beta
AAEL011520,Slc45-1
AAEL010698,Arts
AAEL010697,yip2
AAEL010691,RnrS
AAEL000465,CG6144
AAEL008679,Tat
AAEL000467,mRpL49
AAEL000460,CG7639
AAEL008671,Fis1
AAEL008672,CG3164
AAEL008673,Rab9
AAEL000469,Kcmf1
AAEL008676,Mulk
AAEL001596,CG4645
AAEL001597,CG31142
AAEL001593,Gpdh1
AAEL010073,Nrd1
AAEL010071,SpdS
AAEL010070,Gbeta5
AAEL010077,CG3704
AAEL010074,su(sable)
AAEL008716,CG13773
AAEL008715,CG10793
AAEL008714,CG7065
AAEL008711,CG34184
AAEL008719,SNRPG
AAEL008718,Slc25A46a
AAEL002848,betaTub60D
AAEL003861,chinmo
AAEL007473,Cyp308a1
AAEL007472,Adck5
AAEL007476,Mkrn1
AAEL001339,atms
AAEL001332,IntS4
AAEL001330,CG6696
AAEL001331,CG1129
AAEL001336,Vps2
AAEL001334,betaggt-II
AAEL005655,Snx1
AAEL005656,Mhc
AAEL005651,Pect
AAEL005653,frj
AAEL009101,eIF3f1
AAEL009100,CG5254
AAEL009105,Atg9
AAEL006879,CG8026
AAEL006870,Snx17
AAEL006872,Mp20
AAEL002846,Ipk2
AAEL006876,NoSymbolFound
AAEL007658,baz
AAEL007657,yl
AAEL007656,CG12608
AAEL007655,CG32708
AAEL007653,CG6106
AAEL007651,CG7766
AAEL007650,CCT2
AAEL009047,achi
AAEL002023,Idgf4
AAEL009041,NoSymbolFound
AAEL009042,Ufd1-like
AAEL009043,CG32137
AAEL009048,Strump
AAEL013571,nSyb
AAEL012993,CG13484
AAEL006308,CG8726
AAEL006309,CG14232
AAEL012996,RhoGDI
AAEL012994,Pgi
AAEL012998,dpr18
AAEL001552,CG12836
AAEL001005,Calr
AAEL002683,ry
AAEL002687,ScpX
AAEL001554,Br140
AAEL002684,dac
AAEL018161,SNF4Agamma
AAEL002689,CG14490
AAEL002688,Ugt36D1
AAEL012195,CG4789
AAEL002997,CG7432
AAEL003374,Su(fu)
AAEL003377,Srp72
AAEL003371,NoSymbolFound
AAEL003373,bif
AAEL003378,FMRFaR
AAEL003379,CG12241
AAEL004685,Ssadh
AAEL004686,pont
AAEL004680,CG5376
AAEL004682,CG30392
AAEL014345,CG17593
AAEL014347,Megf8
AAEL014340,Rgk3
AAEL014343,CG42784
AAEL009637,CtsB1
AAEL002972,Cht5
AAEL012227,CG3760
AAEL012220,CG32856
AAEL002978,Dip-B
AAEL004114,CG2121
AAEL009634,spidey
AAEL000162,Gr43a
AAEL003088,dgt5
AAEL003089,CG3520
AAEL003087,Wdr92
AAEL003084,wol
AAEL003083,CG3530
AAEL004119,CG5455
AAEL011873,Uev1A
AAEL008084,PSR
AAEL008088,mei-38
AAEL013942,CG32099
AAEL013232,CG4537
AAEL003887,Vps11
AAEL003885,trus
AAEL003883,RhoGAP15B
AAEL015163,Ccp84Ab
AAEL004359,CG14312
AAEL004352,rha
AAEL004351,gish
AAEL013237,mtDNA-helicase
AAEL004357,Nlg4
AAEL004356,CG6923
AAEL004355,Prp38
AAEL012549,CG4301
AAEL005339,Hrs
AAEL005336,CG6287
AAEL005330,Gyc32E
AAEL001484,emb
AAEL000670,MsrA
AAEL000671,Toll-6
AAEL000672,CycA
AAEL000673,Naxd
AAEL000674,CG3808
AAEL000677,Rpb8
AAEL000854,CG6028
AAEL000679,Nedd8
AAEL000856,gcl
AAEL004534,CG2991
AAEL004533,CG31760
AAEL004532,CG9331
AAEL000852,CG11858
AAEL000853,rasp
AAEL001101,CG1703
AAEL005481,CG33080
AAEL001103,Pfdn6
AAEL001102,Adk2
AAEL005484,Snx27
AAEL005485,AdamTS-B
AAEL001106,IFT46
AAEL001109,CG14407
AAEL002728,mRpS22
AAEL002238,mus304
AAEL012010,CG13220
AAEL010266,CG13492
AAEL010263,CG14275
AAEL010260,CG7781
AAEL010261,NoSymbolFound
AAEL006688,Sf3b5
AAEL006685,Ggamma30A
AAEL006684,Ndf
AAEL004829,ND-13B
AAEL004821,CG17167
AAEL004823,Sod2
AAEL004825,zyd
AAEL006463,Pex12
AAEL006462,Taf7
AAEL010488,aop
AAEL006460,par-6
AAEL010483,CG42668
AAEL006469,l(1)G0020
AAEL010486,CG4511
AAEL010487,CG4666
AAEL018042,Ugt301D1
AAEL018040,CG34120
AAEL013015,CG16854
AAEL013018,Obp83a
AAEL017064,jagn
AAEL017067,obst-J
AAEL012764,Gnmt
AAEL008500,me31B
AAEL008507,NoSymbolFound
AAEL008505,CG13295
AAEL008509,AlaRS-m
AAEL017280,osa
AAEL013904,CG15093
AAEL017282,CG3918
AAEL013902,Zfrp8
AAEL013903,Grip84
AAEL012507,Pfdn2
AAEL012501,brwl
AAEL012500,Ube3a
AAEL012503,Pym
AAEL012509,Est-6
AAEL012508,mu2
AAEL007226,Ndg
AAEL007227,CG6752
AAEL007221,bsh
AAEL007228,Atg4a
AAEL007229,NoSymbolFound
AAEL005470,Pex2
AAEL002760,CG10050
AAEL002761,Tm1
AAEL002764,CG5214
AAEL002765,svp
AAEL002766,GatA
AAEL009909,Cln3
AAEL002769,pros
AAEL003143,Ocrl
AAEL003142,mRpL21
AAEL003413,fat-spondin
AAEL003140,Rbbp5
AAEL003415,LamC
AAEL003145,Best1
AAEL003416,SH3PX1
AAEL003419,serp
AAEL003418,Spase25
AAEL000999,Mcm7
AAEL000994,CG42268
AAEL000996,MTPAP
AAEL000993,dally
AAEL014486,qtc
AAEL014484,CG30423
AAEL014489,Dtd
AAEL000195,CG32668
AAEL000194,Pi4KIIIalpha
AAEL014628,CG9986
AAEL000191,CG17841
AAEL000193,PR-Set7
AAEL014152,CG14234
AAEL014153,CG17327
AAEL000199,ArgRS
AAEL005819,CG10184
AAEL005813,Nelf-A
AAEL001827,Usp39
AAEL005811,CG8135
AAEL005817,RpL26
AAEL005816,Sirt2
AAEL001821,CG14044
AAEL011052,CG12128
AAEL011501,CG34462
AAEL011502,CG8079
AAEL011051,oys
AAEL011056,Sidpn
AAEL011505,Gp210
AAEL011506,Fs
AAEL011055,CG5504
AAEL011059,CG12096
AAEL010906,Ccdc58
AAEL010673,ND-MWFE
AAEL010903,Bap111
AAEL000448,Duba
AAEL010679,CG4615
AAEL000330,CG12975
AAEL000445,CG31997
AAEL000444,Uggt
AAEL000334,qua
AAEL000440,Mms19
AAEL008692,baf
AAEL008696,Smox
AAEL008697,COX5B
AAEL006523,Crk
AAEL010290,CG9265
AAEL010017,Cyt-b5
AAEL010013,U4-U6-60K
AAEL010012,Sar1
AAEL010018,Unr
AAEL006991,CG14906
AAEL005535,Mgat3
AAEL002091,trbd
AAEL007414,CG5323
AAEL007410,I-2
AAEL005678,sll
AAEL001314,CG17059
AAEL005676,Adgf-A
AAEL001317,CG6418
AAEL004844,nwk
AAEL009127,Cyp6a23
AAEL009124,Cyp6a13
AAEL009129,Cyp6d4
AAEL013179,Ogg1
AAEL005539,FANCI
AAEL006890,Jabba
AAEL006895,Pfk
AAEL007789,ADPS
AAEL006899,CG5001
AAEL017548,Or67c
AAEL017543,Prp31
AAEL017545,CG17931
AAEL009029,Aldh
AAEL009026,UbcE2M
AAEL009027,MED24
AAEL009024,Pdfr
AAEL009023,CG14100
AAEL006098,CG8237
AAEL007931,mbt
AAEL006091,Rab6
AAEL014331,CG17598
AAEL013596,Pi3K21B
AAEL006329,yellow-k
AAEL006320,Ptp69D
AAEL006322,CG8399
AAEL010355,Gle1
AAEL010609,CG3348
AAEL010359,CG9330
AAEL003318,CG2930
AAEL003316,CG11073
AAEL003310,PIG-P
AAEL001439,mRpL22
AAEL014816,kuk
AAEL002401,Prosbeta4
AAEL002955,Osi20
AAEL002402,CG32982
AAEL002953,Arp10
AAEL002404,tor
AAEL002407,pic
AAEL002950,l(1)G0469
AAEL012247,CG1951
AAEL012245,obst-A
AAEL012248,ort
AAEL012249,CG6184
AAEL001344,opa
AAEL001343,tow
AAEL001437,exp
AAEL015142,Fcp1
AAEL004338,Pdhb
AAEL004333,CG6907
AAEL004332,Oseg6
AAEL005312,MESK4
AAEL005313,CG31800
AAEL005315,CG9760
AAEL005316,CG7330
AAEL011097,HPS4
AAEL011547,CG7631
AAEL011541,CG3356
AAEL000836,CG12010
AAEL000834,Fmo-1
AAEL000832,Cpsf160
AAEL000839,O-fut1
AAEL011261,yem
AAEL010243,Axs
AAEL010244,lolal
AAEL010245,icln
AAEL010246,CG13625
AAEL010248,Fib
AAEL010249,CG30105
AAEL006661,Rpb4
AAEL006660,Psf2
AAEL006663,CG5742
AAEL006667,CG7149
AAEL006666,senju
AAEL006669,smo
AAEL006668,CG5783
AAEL002310,l(2)k10201
AAEL004803,CG9896
AAEL004802,l(2)gd1
AAEL004804,Coq3
AAEL001129,PPP4R2r
AAEL001123,nan
AAEL001127,dpr14
AAEL001126,CoRest
AAEL001124,Nprl3
AAEL006404,CG6216
AAEL006407,CG15443
AAEL006401,Dim1
AAEL006400,Elp3
AAEL006409,MFS18
AAEL018248,RhoGAP71E
AAEL013296,CG1113
AAEL018244,NoSymbolFound
AAEL013291,Hexim
AAEL007208,ana
AAEL007209,Arl8
AAEL007758,CG32512
AAEL007752,COX7A
AAEL007750,CG11095
AAEL007203,CG9667
AAEL007757,CG4880
AAEL007754,CheA84a
AAEL007573,wcd
AAEL012748,CG15125
AAEL012743,Dhap-at
AAEL008564,cue
AAEL012741,CG5466
AAEL012740,ATPsynC
AAEL012746,NoSymbolFound
AAEL012745,CG32425
AAEL012744,prd1
AAEL013431,slgA
AAEL009922,CG15525
AAEL009927,CG3246
AAEL009926,Sec5
AAEL009924,Sas-6
AAEL012526,CG15919
AAEL012525,Gas41
AAEL012523,Tfb4
AAEL012522,MFS3
AAEL012520,NoSymbolFound
AAEL003125,CG6638
AAEL003127,Poc1
AAEL015557,CG10877
AAEL003129,Nlg1
AAEL005718,CG13318
AAEL018281,CG15814
AAEL003438,Als2
AAEL003433,ATP7
AAEL003431,Prosbeta2
AAEL003437,PrBP
AAEL003436,kn
AAEL003435,CG13373
AAEL003434,Mal-A1
AAEL004479,CG6006
AAEL004471,Marf
AAEL004477,Cdc7
AAEL004474,S6kII
AAEL004475,Arpc3A
AAEL008322,fz4
AAEL008323,CG13999
AAEL008320,cutlet
AAEL008327,IFT57
AAEL008324,CG3407
AAEL008325,CG13436
AAEL008329,RpL24
AAEL014600,Hpd
AAEL001800,CG10973
AAEL001801,CG12395
AAEL001803,kon
AAEL005879,Vinc
AAEL001805,CG12659
AAEL001808,Oatp30B
AAEL001809,lft
AAEL005877,CG1416
AAEL005870,Fen1
AAEL011074,Zir
AAEL011070,NoSymbolFound
AAEL011071,CG3294
AAEL011073,Gr28b
AAEL011078,CG6055
AAEL000312,CG17350
AAEL000311,fon
AAEL010386,Ugt302E1
AAEL011277,ASPP
AAEL000315,pigeon
AAEL000314,CG10512
AAEL010389,alpha-Est9
AAEL010388,CG4617
AAEL011388,lsn
AAEL011389,CG5608
AAEL011386,shf
AAEL011387,hfw
AAEL011385,zuc
AAEL011382,CG4849
AAEL011383,MAGE
AAEL011381,ND-49
AAEL001867,VGlut
AAEL001864,Thor
AAEL002419,CG31064
AAEL009493,sing
AAEL009497,Pmm2
AAEL009496,RpS7
AAEL009495,pns
AAEL017198,RpL37a
AAEL010653,NoSymbolFound
AAEL010650,Smvt
AAEL010657,CG10919
AAEL010655,Corin
AAEL007920,Mob2
AAEL007431,CG7637
AAEL007926,hiro
AAEL017385,CG5746
AAEL007439,Mlc-c
AAEL005690,CG5808
AAEL001374,Rsph3
AAEL001372,velo
AAEL001373,Lmx1a
AAEL001370,Nrk
AAEL001371,Cpsf5
AAEL005699,Serinc
AAEL011926,byn
AAEL011927,mib1
AAEL001378,Sms
AAEL001379,CG6664
AAEL009147,Mon1
AAEL009140,CG13339
AAEL009142,CG5355
AAEL009149,CG7352
AAEL009148,CG18480
AAEL010037,Pgm1
AAEL010032,SsRbeta
AAEL013600,if
AAEL013608,Ugalt
AAEL017566,DNAlig1
AAEL017560,Patj
AAEL017562,Ykt6
AAEL009002,Cpr62Ba
AAEL009005,Cpr76Bb
AAEL004982,CG15270
AAEL004986,Smg5
AAEL000406,CG12934
AAEL004793,CG45002
AAEL000405,Ten-m
AAEL000404,Xpd
AAEL008269,mwh
AAEL004790,CG5087
AAEL004025,CG9512
AAEL004024,CG42812
AAEL006346,CG7945
AAEL000408,CG15027
AAEL006343,CG7739
AAEL006340,Cep135
AAEL006341,CG16959
AAEL005109,CG34124
AAEL006348,CG3819
AAEL007699,RpL9
AAEL007698,aub
AAEL004028,CG12398
AAEL007693,Oatp33Eb
AAEL007692,DNApol-alpha73
AAEL007691,Oatp33Ea
AAEL007690,raptor
AAEL007697,Bka
AAEL007696,dl
AAEL007694,Fbw5
AAEL013656,SPARC
AAEL003331,conv
AAEL003332,fs(2)ltoPP43
AAEL013871,CG5500
AAEL003336,RtcB
AAEL013876,ND-B14.7
AAEL013877,Oscillin
AAEL012268,Cht10
AAEL002422,orb
AAEL002427,Brf
AAEL002425,CG13692
AAEL012260,U3-55K
AAEL012261,CG17683
AAEL012262,Bsg
AAEL002428,lute
AAEL012264,mRpL24
AAEL012265,Tif-IA
AAEL012267,NoSymbolFound
AAEL006856,Taf8
AAEL003599,CG6762
AAEL003597,CG7702
AAEL004643,mRpL1
AAEL004313,Fkbp14
AAEL011326,CG5745
AAEL004311,CG5934
AAEL014831,Rpb10
AAEL004319,Egfr
AAEL005997,fabp
AAEL005992,Meltrin
AAEL005991,sea
AAEL006855,Efr
AAEL000810,Pkc98E
AAEL000811,mthl14
AAEL011711,Nacalpha
AAEL011242,sgl
AAEL011240,pzg
AAEL011715,Nse1
AAEL011719,Nup43
AAEL011718,CG15456
AAEL011248,Inx3
AAEL009213,melt
AAEL006589,Trc8
AAEL009964,ATPsynE
AAEL002295,CG5096
AAEL009217,mRpS35
AAEL006649,Traf4
AAEL006648,CG5828
AAEL006642,alphaTub84B
AAEL006641,CG5013
AAEL006640,CG9630
AAEL006647,Dlc90F
AAEL006646,CG10338
AAEL006645,SLIRP2
AAEL006644,Tk
AAEL004865,CycG
AAEL004867,CG18428
AAEL004866,CG17565
AAEL004860,Adi1
AAEL004863,yellow-d
AAEL004862,ko
AAEL004869,wdn
AAEL008154,Vrp1
AAEL008157,CG18745
AAEL001148,CG32532
AAEL005197,RagC-D
AAEL005195,lab
AAEL001141,XNP
AAEL005190,mRpL42
AAEL001142,spri
AAEL006429,CG31681
AAEL006425,CG31954
AAEL006420,Ccm3
AAEL005580,dap
AAEL007598,nerfin-2
AAEL002983,CG8929
AAEL008545,CG15073
AAEL008542,Khc
AAEL008543,Cdc42
AAEL007597,snk
AAEL005738,yellow-b
AAEL005730,alien
AAEL005736,BuGZ
AAEL005734,CG16974
AAEL005735,CG32590
AAEL007779,tx
AAEL007777,VhaAC45
AAEL007770,Elk
AAEL007771,RpL22
AAEL007773,CG10311
AAEL012725,Caf1-180
AAEL012720,CG12507
AAEL012723,Dsor1
AAEL013415,CG6569
AAEL013410,CG7506
AAEL009949,Scr
AAEL009944,CG17652
AAEL012096,Spag1
AAEL012095,Rpt2
AAEL012094,CkIIalpha
AAEL012093,CG5819
AAEL012092,wdp
AAEL012091,dve
AAEL012099,NoSymbolFound
AAEL007450,odd
AAEL014445,CG14607
AAEL014994,Twdlbeta
AAEL002853,slbo
AAEL002850,ptc
AAEL002851,betaTub85D
AAEL002856,CG30159
AAEL014992,Rabex-5
AAEL003109,atl
AAEL003108,Ptpmeg
AAEL003454,Mob4
AAEL003104,tn
AAEL003103,eff
AAEL003452,CG9410
AAEL000152,B9d1
AAEL004458,CG4709
AAEL000154,Claspin
AAEL000159,Nipsnap
AAEL004455,Non3
AAEL004456,Dbp21E2
AAEL004457,NoSymbolFound
AAEL004451,CG8654
AAEL008306,Ask1
AAEL008303,CG5023
AAEL005857,CG8067
AAEL005856,SrpRalpha
AAEL005851,Rrp42
AAEL011019,Dlic
AAEL011017,GramD1B
AAEL011014,CG34309
AAEL011012,Sep4
AAEL011013,sim
AAEL011011,CG10357
AAEL000370,CG17544
AAEL000372,CG9391
AAEL000378,Ilk
AAEL000937,Ilp2
AAEL008041,CG1440
AAEL005500,Yif1
AAEL001682,nudC
AAEL005504,CG8043
AAEL005507,acj6
AAEL005508,ND-24
AAEL005893,mip120
AAEL010639,Rsph1
AAEL000483,botv
AAEL010631,Osi5
AAEL000486,CCT7
AAEL000485,NoSymbolFound
AAEL001358,CG44163
AAEL001359,CG32100
AAEL001428,Hey
AAEL008048,CG32647
AAEL001422,PI31
AAEL001423,CG9449
AAEL017368,eRF3
AAEL001421,Dp1
AAEL001354,CG4686
AAEL001424,CG11110
AAEL001425,cerv
AAEL009169,Esyt2
AAEL009167,gbb
