gene14364,sNPF
gene13224,Meltrin
gene13225,CG13436
gene13226,Non2
gene13951,Ntf-2
gene13956,Bap60
gene13221,CG9766
gene13222,knk
gene13223,mthl1
gene4000,CG5180
gene16058,CG13392
gene16059,CG5902
gene12578,OSCP1
gene14395,CG9581
gene16056,CG8677
gene12574,insb
gene12573,CCHa2-R
gene5539,RpL10Ab
gene334,HDAC6
gene1649,CAH13
gene1646,CG5877
gene1647,CG14411
gene1644,defl
gene1645,Mocs1
gene1642,CG3823
gene1643,CG12118
gene1640,uex
gene335,CG5355
gene3737,cnn
gene3731,CG4115
gene4500,PDZ-GEF
gene3221,MED27
gene16584,oxt
gene16585,CG7457
gene11089,galene
gene6866,mbl
gene14100,RpL5
gene8503,ATPCL
gene8052,CG6654
gene8053,Zwilch
gene7734,Obp46a
gene8507,Nipsnap
gene8505,Tao
gene7738,trn
gene8059,CAHbeta
gene8508,Alg11
gene8509,4E-T
gene11559,inc
gene11550,garz
gene11551,CG7728
gene11554,Axn
gene10689,Start1
gene10688,SIFa
gene10937,CG10189
gene10936,l(2)gl
gene10687,ND-19
gene7886,ND-B14.5A
gene7887,Sidpn
gene7884,CG6287
gene7885,CG11267
gene7882,Spf45
gene7883,mRpS22
gene15458,CG10344
gene7888,mRpL20
gene11888,CG42638
gene11334,spz3
gene11336,CG4615
gene11337,Atg18a
gene11330,GstT3
gene11331,CG12056
gene2562,CG8963
gene10069,mEFTu2
gene10068,ATPsyngamma
gene10066,NoSymbolFound
gene10065,pk
gene2566,CG5541
gene7020,CG1965
gene2565,be
gene9905,CG33090
gene9904,Cyp12c1
gene9907,Cdk5
gene9906,Dad1
gene9901,Mtap
gene9903,spz6
gene9902,Sf3b5
gene7048,CG4133
gene7049,mRpL10
gene1076,Prosalpha2
gene9016,mRpS31
gene395,Ms
gene9018,stl
gene13569,Acbp1
gene13563,Blos1
gene13562,Ice2
gene13567,BBS1
gene13565,Exn
gene13564,loj
gene12968,Doc3
gene12969,CG42672
gene12964,E(bx)
gene12960,RpS15Aa
gene12961,sdk
gene12963,AIMP2
gene5952,NoSymbolFound
gene5953,kek5
gene5950,CG13407
gene5951,CG14407
gene2639,CG7974
gene34,CG43206
gene36,NoSymbolFound
gene32,Naa35
gene33,CG6931
gene16429,CG11370
gene13238,CG4610
gene14359,CG9171
gene14358,obst-E
gene14354,CG13581
gene14351,CG6290
gene14350,CG16986
gene13941,CG31869
gene12218,RfC38
gene12219,CG10516
gene12216,IntS9
gene12217,CG10713
gene13945,thoc6
gene4839,Btk29A
gene2326,CG43085
gene4771,NoSymbolFound
gene4770,jing
gene4774,spri
gene4776,AttC
gene12546,Ptpmeg
gene1816,VhaPPA1-1
gene1813,Smu1
gene1819,CG14257
gene1818,gfzf
gene6585,Fer2
gene4441,awd
gene8893,CG11873
gene3882,p130CAS
gene3883,zuc
gene4360,Rtc1
gene4361,CG9577
gene3886,Neos
gene3887,CG5466
gene3884,CG8635
gene3885,Cdc27
gene10212,eEF2
gene10214,Snx1
gene10215,mus312
gene10216,IscU
gene10217,CG15270
gene7194,fray
gene9464,SdhD
gene6639,Zasp66
gene9263,Mat89Ba
gene6633,Sulf1
gene6630,Stam
gene6631,Rh6
gene6637,MICU1
gene6635,CG43295
gene14613,NoSymbolFound
gene7949,NoSymbolFound
gene8268,fj
gene712,CG8036
gene713,Treh
gene8261,Vps26
gene711,RhoGAPp190
gene240,CG10339
gene7946,CG10660
gene8265,Ufd1-like
gene7944,mahj
gene4949,CG9240
gene4946,Cda4
gene12494,bug
gene4944,ND-B14.5B
gene4942,Spn28Dc
gene4943,Mnn1
gene4941,Tbc1d15-17
gene4444,Dscam2
gene5011,AANATL7
gene3568,CG3225
gene6586,Nost
gene13028,Tsp29Fa
gene13026,Ubc2
gene13027,CG7747
gene13024,CG8578
gene13025,Tsp39D
gene13022,RpL10
gene13021,CG9941
gene12772,CG31522
gene6582,CG13920
gene12776,mbm
gene13794,CG9855
gene13795,CG7550
gene13796,CG2321
gene13797,pinta
gene12948,l(3)87Df
gene13792,trbd
gene13793,l(3)07882
gene13978,CG11857
gene13979,CG9132
gene3547,crc
gene12517,CG3198
gene12516,CG5276
gene12512,CG10869
gene3546,GstO3
gene4812,IFT57
gene1624,CG11790
gene1625,Fdx1
gene1626,Kap-alpha1
gene1627,Taldo
gene1620,Pi3K59F
gene1621,Mtl
gene1622,Ccdc58
gene1623,polybromo
gene1628,CG4041
gene1629,CG30382
gene3718,ckn
gene4568,GNBP3
gene4569,Uvrag
gene3712,RhoGAP68F
gene3713,CG16953
gene3246,Su(z)12
gene4567,CG4213
gene4560,CG3061
gene14278,MagR
gene3242,CG10089
gene3243,EMC8-9
gene15740,CG3226
gene3847,Liprin-gamma
gene3217,Pms2
gene3216,l(2)09851
gene14271,IFT46
gene3214,snRNP-U1-70K
gene14277,Sur-8
gene15565,tfc
gene15564,CG32333
gene15567,Oseg2
gene15566,CG9018
gene15561,CG43780
gene14274,fs(1)h
gene15563,CG13344
gene15562,CG9705
gene15569,RN-tre
gene4539,veli
gene2613,CG13313
gene16446,CG4364
gene6845,nesd
gene6844,Drp1
gene6847,Nup93-1
gene6841,Dyrk2
gene6840,CG7179
gene6842,CG5728
gene5380,RpL9
gene5389,Nadsyn
gene5388,ovo
gene14164,CG17528
gene8075,PhKgamma
gene8073,RpII15
gene11538,blanks
gene11534,CG15040
gene11532,lok
gene11533,spin
gene11531,Spn38F
gene10663,hth
gene10667,Yif1
gene10666,Rrp46
gene10668,KrT95D
gene16200,c12.2
gene8388,Twdlbeta
gene3928,CG11658
gene10005,IKKepsilon
gene10003,stmA
gene10002,Fkbp12
gene9658,CG30491
gene9650,CG2767
gene9653,alph
gene9657,NoSymbolFound
gene9656,ERR
gene9385,enc
gene9384,Hmg-2
gene9381,CG42397
gene8928,CG16903
gene509,Naam
gene508,GluClalpha
gene8920,CG3337
gene506,WRNexo
gene8922,gammaTub23C
gene8923,dtr
gene8924,Gbeta13F
gene502,IleRS
gene501,CG6688
gene500,CG10939
gene1014,Dad
gene1013,CG3534
gene1012,Sf3a1
gene13173,DCTN1-p150
gene9038,wit
gene9035,sofe
gene9037,glob3
gene9030,ZnT35C
gene9033,Sin3A
gene9032,sel
gene13176,NHP2
gene4813,CG4238
gene14332,CG8728
gene15616,Est-6
gene15531,fln
gene15615,Aldh7A1
gene5850,CG33695
gene15535,CG7646
gene10606,Cht2
gene2431,na
gene4816,mei-P26
gene7155,Ddc
gene2388,RpS16
gene7157,Catsup
gene2386,CCT2
gene2387,CG14997
gene2384,CG3437
gene12982,mor
gene6541,CG34462
gene12980,cwo
gene6543,CG13670
gene12986,Arfrp1
gene6545,Alg2
gene12984,Theg
gene12985,AP-1gamma
gene6549,CG14722
gene12988,Mi-2
gene3525,Usp10
gene3524,ldbr
gene3521,RFeSP
gene3520,GlnRS
gene3523,CG4407
gene3522,PAN3
gene3529,CG34132
gene2654,CG11456
gene2655,CG34001
gene2656,hay
gene2657,l(3)72Dn
gene2651,Usp39
gene2652,CG12818
gene2653,Alr
gene12182,Sin
gene12183,dor
gene12180,CG10341
gene9365,dpa
gene12185,mRpS7
gene6099,CG5853
gene14370,fwd
gene14377,CG33203
gene14376,CG5961
gene14807,CG7029
gene12231,Lis-1
gene12232,CG8441
gene12233,Slmap
gene12235,CG10211
gene12237,Opbp
gene12238,CG9254
gene3383,CG2091
gene3385,Pex3
gene3384,CG7326
gene11546,vito
gene11917,CG17333
gene11544,Drep4
gene4716,Tom70
gene4713,Traf-like
gene4712,Capr
gene4711,CG17233
gene4710,pns
gene15172,ind
gene3917,Mdr50
gene1838,CG10375
gene1387,Dark
gene1385,Ktl
gene1830,CG31076
gene11272,SmydA-6
gene11277,ND-20
gene11276,Inos
gene5448,CG11417
gene5449,CG11779
gene10279,Fem-1
gene5442,CG7884
gene5445,Coq8
gene5446,Sbat
gene5447,Naa30A
gene3702,eIF3e
gene262,Invadolysin
gene260,CG7432
gene261,FeCH
gene268,rb
gene269,Rheb
gene7961,Cpr78Cc
gene8711,CG42594
gene8710,CG40045
gene7965,Gcn5
gene7964,wb
gene8247,fabp
gene7966,CG4733
gene7969,Taf6
gene8248,CG11638
gene4926,RnrL
gene4928,CG9117
gene4929,bark
gene5039,mRpL19
gene5038,CG17660
gene10498,TfAP-2
gene5031,rg
gene10493,CG13692
gene10490,sip3
gene5035,cos
gene10497,CG11858
gene5036,mRpL48
gene195,CG32643
gene13004,ppk23
gene13006,RpL37a
gene13007,Nf-YB
gene13000,lush
gene13001,Obp19a
gene13002,Scox
gene3504,Syx17
gene13008,shams
gene13009,140up
gene12757,CG9911
gene998,Usp1
gene999,CG31445
gene990,CG6330
gene992,Tsp97E
gene993,CG6937
gene995,Pus1
gene13916,mRpS18C
gene13913,DNApol-alpha50
gene13910,Culd
gene13911,CG15695
gene13919,Hip1
gene9204,CG3589
gene1606,bigmax
gene1605,dmpd
gene6875,CG5038
gene3262,CG10222
gene3263,CG6329
gene4540,CG41520
gene4547,ND-MNLL
gene3264,kirre
gene4545,CG10750
gene4548,CG3918
gene4549,Cp110
gene15765,CG1640
gene7844,CG9515
gene12532,wls
gene12536,gsb-n
gene12535,Nplp1
gene12534,insv
gene15548,CG6280
gene15811,Pkg21D
gene7363,CG5174
gene7362,drd
gene7366,Rim
gene7365,mRpS26
gene7364,CG32708
gene6378,MFS9
gene6371,rgn
gene6377,CG15528
gene6376,dgrn
gene5636,CG9812
gene5638,CG9815
gene8412,CG9449
gene14494,Raf
gene566,kmr
gene14492,CG3603
gene14493,EndoG
gene14490,Sclp
gene8415,MAN1
gene562,Sdc
gene2452,CG31550
gene7133,Pyroxd1
gene2322,Prosalpha6
gene14638,CstF64
gene2451,CG17754
gene7779,JhI-21
gene7774,Fs(2)Ket
gene7775,CarT
gene7777,Taf5
gene14568,eIF4B
gene14634,NoSymbolFound
gene8013,zld
gene7134,mRpS18B
gene7135,Set2
gene11042,Scp1
gene11043,Npc1a
gene11047,CG13868
gene11044,Faf2
gene11045,tsu
gene10395,CG45002
gene10397,GAA1
gene10644,Prosbeta7
gene10391,Irbp
gene10642,cyr
gene10392,Mtr3
gene10398,CG10384
gene10648,Ppn
gene16350,CG17598
gene9637,CG8132
gene9636,CG3740
gene9635,Cse1
gene9634,Klp3A
gene9631,ZnT86D
gene9630,scra
gene529,bbg
gene528,CG2017
gene523,Hmgcl
gene8905,Tango5
gene525,Corin
gene524,Syn2
gene8901,UQCR-11
gene1036,modSP
gene1031,sr
gene1039,CG4553
gene1038,CG8032
gene15649,Rpt4
gene10029,zetaCOP
gene10028,Galphaf
gene10027,Nacalpha
gene10026,Hexo1
gene13614,Chro
gene13617,Arf79F
gene13616,CG11109
gene10849,Rpt5
gene12873,CG12811
gene12707,phm
gene10848,CG9467
gene5199,CG8236
gene12876,Pgm2a
gene5194,Brms1
gene5195,pdgy
gene5192,SrpRalpha
gene5193,PIG-X
gene5191,Klc
gene2416,neur
gene7177,Tmem18
gene7175,CG15765
gene2412,ProRS-m
gene2413,CG14689
gene7171,SelT
gene13873,kermit
gene7178,CG10237
gene6564,bves
gene6560,ko
gene13875,CG9328
gene13874,CG32262
gene5994,ASPP
gene5993,CG14205
gene5991,CG13698
gene2678,CG9922
gene2679,CG31648
gene2677,mRpL42
gene7282,akirin
gene7283,Rubicon
gene16175,Seipin
gene16174,Papss
gene14826,Elo68alpha
gene14825,CG14853
gene14824,put
gene14829,CG13690
gene14828,Rop
gene12254,Dnah3
gene12253,mRpL12
gene11322,pch2
gene4487,Ilk
gene4486,Eip78C
gene11320,CG9253
gene3108,wcy
gene4739,rad
gene3103,RpL36
gene3101,t
gene3107,Nup153
gene3106,CG9095
gene3105,CG9953
gene3104,PIG-C
gene11703,U2af50
gene11702,Aos1
gene11706,beta4GalNAcTA
gene11256,psh
gene11255,Pym
gene11253,CG6418
gene11250,AQP
gene10254,Topors
gene10255,Myb
gene10257,Ras64B
gene10250,CG10795
gene10251,CG8818
gene10253,RNASEK
gene5466,Tip60
gene5467,RpS2
gene10258,Mat1
gene5460,CG13377
gene8739,Pp4-19C
gene201,Akh
gene202,CG3309
gene205,BORCS6
gene207,Slip1
gene8731,CG45065
gene8733,CG9518
gene8735,Cpr51A
gene7904,CG13287
gene8223,Sws1
gene7902,CG6424
gene7901,Cds
gene8220,Arc42
gene5059,NoSymbolFound
gene5056,Vps36
gene5525,mael
gene5524,CG11752
gene3323,Nup358
gene1198,Gld2
gene13939,REPTOR-BP
gene13288,MED19
gene3322,CG6903
gene1192,Ctr1A
gene1193,CG15237
gene1190,CG3040
gene1191,Pdcd4
gene1196,CG3071
gene1197,DCAF12
gene1195,Vlet
gene9178,NoSymbolFound
gene9179,CG15916
gene4908,mRpL14
gene4909,crp
gene4902,frtz
gene3327,CG42269
gene4900,Ankle2
gene9173,CG6867
gene9176,Ak3
gene9177,EMC7
gene3324,Ars2
gene2140,EMC2B
gene2141,ND-B16.6
gene7189,Oseg5
gene2085,CG5862
gene2087,Alg13
gene2086,Smyd5
gene2081,Slik
gene2080,Roc2
gene2082,CG43346
gene12734,if
gene12736,CG10082
gene2089,MED28
gene2088,eca
gene12732,pcs
gene13429,CG4995
gene13422,chm
gene13423,Rab3-GAP
gene13421,Atg10
gene13427,ex
gene13424,NoSymbolFound
gene13425,BBS8
gene12083,yellow-f2
gene12084,run
gene7340,Gbeta76C
gene7347,O-fut1
gene7349,Hel25E
gene7348,ND-13A
gene5619,C901
gene2453,NANS
gene7752,PIG-T
gene8033,Gr63a
gene7750,Cwc25
gene7751,Tep3
gene8036,Cdc6
gene14615,Arp1
gene7755,Trf2
gene14618,Syx18
gene14619,ATP8B
gene4156,jim
gene8652,Vps29
gene8653,Rad9
gene8650,Ald1
gene14033,Oamb
gene1970,Cpr100A
gene1973,tll
gene1974,CG15544
gene1976,Cpr97Eb
gene1977,Cpr97Ea
gene11398,CG6345
gene11399,Pgant5
gene11396,CG3108
gene14039,CG7720
gene8698,Hr39
gene2574,CG3434
gene8697,dare
gene2577,CG31717
gene7056,RpL17
gene2571,Atac1
gene3278,Cpr66D
gene9343,CG7236
gene4222,Drice
gene9341,mRpL11
gene3907,DNAlig1
gene3906,Blos4
gene9613,CG9143
gene9344,ATPsynB
gene3908,CG11474
gene9618,homer
gene2455,Upf1
gene10627,pwn
gene8964,Mer
gene8965,pyd3
gene8966,CG31223
gene8967,CG7772
gene8960,ifc
gene8962,anne
gene8968,CG10903
gene8969,Cdc45
gene2578,Tat
gene11939,RPA2
gene16276,CG16711
gene11930,CG13566
gene11931,AdSL
gene11935,Ssk
gene6998,Mondo
gene6997,SMSr
gene6996,nrv1
gene13636,Nmdar1
gene13635,CG8112
gene13634,rictor
gene13633,CDC50
gene13632,CG7987
gene13630,Snm1
gene13639,Pex7
gene543,CG43795
gene547,CkIIalpha
gene545,firl
gene544,morgue
gene549,l(3)76BDm
gene7118,smog
gene7119,CG31935
gene7114,CG4502
gene7115,Nedd8
gene7116,Tango6
gene2477,janA
gene2470,CG31195
gene2471,Mpc1
gene2472,escl
gene2473,CG8927
gene6509,Pburs
gene16377,CG8312
gene6504,5-HT2B
gene16378,RpL35A
gene6507,Burs
gene6501,5-HT2A
gene2690,IFT43
gene2697,Abp1
gene16114,Eaat2
gene16111,PGRP-SA
gene16110,MESR6
gene16113,CG10324
gene16112,CG17266
gene12279,NoSymbolFound
gene12274,Atg1
gene12271,Pgant9
gene701,14-3-3zeta
gene13952,CG12170
gene13953,CG2182
gene13957,CG13398
gene1419,Mekk1
gene1418,Ir67c
gene13954,CG5439
gene13955,Khc
gene3121,LanA
gene3122,CG12877
gene3125,NoSymbolFound
gene3127,scny
gene3126,CG15014
gene3128,unc-13-4A
gene15132,NoSymbolFound
gene15133,NoSymbolFound
gene15130,CG7430
gene14849,alpha-PheRS
gene16057,CG18048
gene12570,glob1
gene11234,CG7564
gene11725,CG34040
gene11231,Mlf
gene11233,CG6094
gene11232,CG15643
gene11238,RpS26
gene14269,GAPcenA
gene5405,XRCC1
gene5407,Cnx99A
gene5401,CG9062
gene14261,CG8379
gene14263,mxc
gene14262,RpLP0-like
gene5408,nSMase
gene5409,rig
gene14267,CG6015
gene14266,PpV
gene2996,CG10814
gene6697,CG2034
gene6690,CG14234
gene6691,CG6621
gene229,NoSymbolFound
gene7929,mtd
gene7928,NoSymbolFound
gene222,CG5618
gene7924,TfIIS
gene7927,arg
gene7926,pav
gene226,CG3558
gene7920,CG13390
gene7923,AspRS-m
gene7922,Wdr82
gene5075,CG4660
gene5074,Tsp5D
gene5077,CG3045
gene5076,NO66
gene5070,Dph4
gene5072,Clc
gene5079,Usf
gene3518,CG6700
gene3519,JMJD5
gene6774,CG10005
gene488,puc
gene489,CG14312
gene480,CG42402
gene1171,Cap-H2
gene1172,Tsp96F
gene1173,RpL18A
gene1174,CREG
gene1175,CG42726
gene9405,slbo
gene9407,Fatp3
gene9156,CG1234
gene9157,Hasp
gene9155,Usp20-33
gene9152,CG11449
gene9153,Psi
gene1948,Mfap1
gene6778,Alh
gene9291,Pgi
gene9834,CG2852
gene12861,CG31694
gene12712,CG13585
gene9520,CG3520
gene12715,Gr43a
gene12866,CG8135
gene12869,emb
gene9832,Cpsf100
gene13400,CG5966
gene13402,CG6465
gene13404,jumu
gene13406,CG17111
gene8833,CG18585
gene13408,GABPI
gene13409,CG33506
gene8342,SpdS
gene456,CG5116
gene451,CG12869
gene322,egr
gene453,pAbp
gene452,ScsbetaG
gene15855,mars
gene15854,CG34398
gene15856,f-cup
gene3220,CG14609
gene15853,Argl
gene2252,CG14883
gene16409,Psc
gene2253,Fnta
gene2706,Frq2
gene7327,CG43333
gene7326,Sld5
gene7323,Phlpp
gene7320,Lim3
gene16583,CG13625
gene16587,CG1847
gene7329,RpS18
gene7328,Vps52
gene14456,Or49a
gene14457,TBCD
gene14458,Agpat2
gene14459,CG12096
gene13081,CG32944
gene14676,Apc
gene14677,Klp68D
gene14674,crn
gene14675,CG13926
gene14672,CG7600
gene14673,Nle
gene14670,CCDC151
gene14671,N
gene14678,BRWD3
gene3259,SPR
gene11009,Usp30
gene11004,CG9395
gene3258,l(1)G0320
gene1957,jvl
gene1955,Pkd2
gene1952,CG7630
gene1951,kst
gene3256,Alg1
gene4209,CG13928
gene9368,Brf
gene4200,Cpr47Ef
gene3925,CG15011
gene3956,rols
gene9367,lute
gene3926,smt3
gene9317,shn
gene4270,CG8320
gene9311,IntS8
gene10603,Rbcn-3B
gene10602,CG2790
gene10601,CG3770
gene10600,CG2811
gene10607,mdlc
gene10354,CG2061
gene10357,Ir64a
gene10359,Sgf29
gene10609,Syx16
gene10608,vih
gene11913,DopEcR
gene11914,Uxt
gene11916,SCaMC
gene9098,Rbsn-5
gene9095,ssp3
gene9090,CG15225
gene3252,CG3529
gene9897,CG10477
gene12002,poly
gene568,Dhc93AB
gene565,AP-2alpha
gene564,Med
gene567,Pglym78
gene8413,Nct
gene8414,Coa7
gene560,Parp16
gene8416,Kif3C
gene8417,NoSymbolFound
gene7132,PNUTS
gene2321,mRRF1
gene2450,CG8520
gene7131,CG2818
gene7136,neb
gene7137,mRpL3
gene2454,CG1789
gene2327,Lmx1a
gene2328,CG10418
gene2329,ida
gene7138,CG16854
gene7139,shv
gene11213,LSm3
gene11212,SCAR
gene13879,TfIIA-L
gene13871,CG11069
gene13654,nmo
gene13657,NoSymbolFound
gene13872,SCOT
gene13651,CG4045
gene13650,CG5087
gene13877,Inx3
gene16133,CG34149
gene1789,Prp18
gene1783,Crag
gene1782,Ras85D
gene1781,CG10435
gene1780,fzr
gene1786,Tace
gene1785,GCS2beta
gene12297,CG13806
gene12294,CG9706
gene12295,CG13248
gene4443,CG33217
gene4442,sxc
gene3321,CG11155
gene4440,Trh
gene3495,smid
gene3326,CG32075
gene3496,wnd
gene3498,klu
gene10165,Obp56a
gene1431,Ccp84Ad
gene3147,TH1
gene3148,nop5
gene16382,ppk28
gene14864,thw
gene14869,CG10936
gene14868,SerRS-m
gene5794,Lip4
gene5790,AIF
gene8309,rept
gene5429,mip130
gene5422,hmw
gene5423,Stim
gene5424,FucTB
gene7498,TrpRS-m
gene14248,Doa
gene7495,Spn88Ea
gene7496,repo
gene7491,EMC5
gene7490,Serinc
gene7493,Pcyt1
gene7492,Bmcp
gene1899,CG14544
gene1898,CCAP
gene1897,CG18599
gene1896,Lrrk
gene1893,NoSymbolFound
gene1891,CG12746
gene1890,spartin
gene8775,CG30268
gene8774,NoSymbolFound
gene8777,plx
gene8779,Dph2
gene8778,emp
gene11749,CG14641
gene11748,flr
gene11745,CSN4
gene11744,porin
gene11746,sds22
gene11743,mip120
gene10168,CG6845
gene10166,Cbp53E
gene10167,Hdc
gene4763,CG9776
gene1238,CG10863
gene1232,CG9723
gene1231,ics
gene1237,Vha100-2
gene1236,CG9804
gene1235,Prx2540-2
gene1234,Vps60
gene976,Cyp6a13
gene977,CG32547
gene975,Nurf-38
gene978,CG7460
gene979,CG6565
gene1156,vsg
gene1157,CG13001
gene1153,Toll-7
gene1158,sotv
gene9426,Sec13
gene9135,qsm
gene9424,pds5
gene9422,Vhl
gene9423,CG2991
gene9132,CG3257
gene9133,CG13594
gene9138,conv
gene9428,ATPsynCF6
gene9429,IntS11
gene604,CG8237
gene607,bib
gene608,Gli
gene609,exp
gene12844,Bap55
gene12843,Sil1
gene12842,Nlp
gene12849,Srp72
gene12848,CG34355
gene13465,gl
gene13462,Eip55E
gene5863,HisRS
gene13469,Tdc2
gene12599,nudE
gene12595,CG7781
gene12594,mtsh
gene12597,ClC-b
gene12596,Jra
gene12590,Pten
gene12593,nmd
gene7309,Ziz
gene7308,c12.1
gene2153,dgt6
gene2152,fbp
gene2154,epsilonCOP
gene9427,DNApol-epsilon255
gene6315,CG33995
gene6316,CG44000
gene6313,Atg3
gene3790,melt
gene5655,boi
gene5657,CG11970
gene5651,Naa20A
gene5650,Npc2h
gene5653,CG4968
gene5652,Hsl
gene14470,ogre
gene14472,shakB
gene5659,crq
gene5658,eIF3f1
gene3239,Chd64
gene14477,pot
gene12338,CHMP2B
gene8954,hoe1
gene12333,CG44085
gene12337,CG12209
gene14064,Pde6
gene8057,Hs6st
gene8406,snsl
gene8058,CG7785
gene15873,CG6431
gene8952,CG30053
gene15875,grp
gene15874,betaggt-II
gene14658,CG8199
gene14659,THADA
gene14654,CG45050
gene14656,eIF2Balpha
gene14650,CG44836
gene14651,eas
gene14652,CG42788
gene14653,Ppcs
gene4657,Chrac-14
gene4654,ArfGAP1
gene4655,gammaSnap1
gene4653,EMC1
gene4651,CG33998
gene16343,Thd1
gene16345,CG1620
gene1934,ste24a
gene1935,eIF2gamma
gene1936,ATPsynO
gene1937,Cul5
gene1938,hd
gene11680,CG7791
gene11681,CG13857
gene11682,Hs3st-B
gene11683,Grx1t
gene11684,Pus7
gene11685,Sptr
gene11686,CG42557
gene11687,SMC2
gene11688,CG7718
gene9306,MrgBP
gene4265,ftz-f1
gene4263,Cyp305a1
gene9302,lolal
gene4261,eIF6
gene10377,Ubi-p63E
gene10376,EloC
gene10372,dnr1
gene10371,LTV1
gene10681,CG12384
gene10379,Max
gene10378,CG3308
gene10680,Srp14
gene11971,SmydA-2
gene11978,GATAd
gene10088,MED8
gene10087,Mgat1
gene10081,mRRF2
gene10080,JTBR
gene10083,Gr21a
gene7689,sicily
gene7680,CG4452
gene7681,Cdc42
gene7682,mnd
gene7683,CG1461
gene7687,CG13124
gene4883,mtSSB
gene4882,aop
gene4887,Rab3-GEF
gene4886,CG9259
gene4885,wol
gene4884,CG4078
gene10885,Incenp
gene10886,mRpL39
gene5136,CG5412
gene5137,Pop2
gene10888,Nckx30C
gene8439,CG5033
gene8436,agt
gene8437,CG8924
gene8435,Sos
gene8430,CG12290
gene2305,twz
gene16339,Ptp69D
gene2303,CG10433
gene2300,U4-U6-60K
gene16332,CG12325
gene13863,snky
gene13860,tinc
gene13866,Nup160
gene9611,mi
gene13673,CG2691
gene13672,Arl8
gene13670,Mkp3
gene13677,Osi16
gene13676,Osi5
gene13674,DNApol-alpha60
gene13679,Osi14
gene12102,CG8778
gene12103,Pmm2
gene12101,stv
gene12104,Sgsh
gene12108,mip40
gene8755,Hsc20
gene3308,CG18622
gene3300,Dmtn
gene3302,P5cr-2
gene4465,CG12975
gene4464,CG30016
gene15688,CG14814
gene15684,NoSymbolFound
gene15685,csw
gene15687,mfas
gene11884,CG31974
gene15683,Ppt2
gene1452,PVRAP
gene1451,CG7275
gene1450,Srlp
gene3169,dikar
gene4798,Akt1
gene3165,Tsc1
gene4796,CG15877
gene3167,CalpC
gene4794,CG15894
gene4793,Bap111
gene3160,Cyp4aa1
gene4791,stnB
gene4790,CCT5
gene15467,CG13893
gene8751,pasi2
gene9552,CG13077
gene7518,RanBPM
gene8367,CG3632
gene9550,Pex11
gene7510,Dlish
gene7516,CG32486
gene7517,CG12134
gene6108,7B2
gene6104,CG11380
gene6105,Ufd4
gene6106,Rsph9
gene6107,CG15141
gene7473,Obp83a
gene2952,miple1
gene2951,Cdk9
gene2957,eIF3l
gene2956,iPLA2-VIA
gene7475,hec
gene2513,NoSymbolFound
gene2959,l(3)72Dp
gene7478,CG17167
gene11762,Hacl
gene11761,Cdk5alpha
gene8360,Pex19
gene10412,NoSymbolFound
gene10413,wech
gene10416,CG32147
gene10417,NoSymbolFound
gene10147,Trm7-32
gene10418,CG7789
gene10419,calypso
gene1211,GstE7
gene4281,Cdk7
gene1214,GstE6
gene8279,Prosbeta3
gene1218,GstE5
gene4283,CG18814
gene4282,ncd
gene4285,MED18
gene911,CAH8
gene917,unc80
gene919,tefu
gene9674,alpha-Est5
gene7950,CG30010
gene13998,SrpRbeta
gene13999,CG17219
gene13996,h
gene1137,Tollo
gene1130,trk
gene255,CG34039
gene1133,Toll-6
gene9118,ETH
gene254,CG32647
gene9448,TTLL5
gene9449,CG13365
gene9112,Dhfr
gene9113,Pdk
gene9446,CG6428
gene9447,CG15522
gene9116,CG9005
gene9117,CG13319
gene9442,Desi
gene9443,Ppi1
gene4473,Ldh
gene628,CG1371
gene629,CG31183
gene626,ptc
gene627,bgm
gene624,CG41378
gene625,Arf51F
gene622,Nup188
gene623,Ero1L
gene1682,CG14304
gene1683,CG14301
gene1680,fru
gene4978,galectin
gene1686,CG6006
gene1687,CG12320
gene1684,qin
gene1688,sbm
gene13198,Hr96
gene13199,CG6005
gene12828,Ugt302E1
gene12821,CG2662
gene12820,comt
gene15695,su(w[a])
gene7302,mrva
gene13449,CG6325
gene13445,U2A
gene13440,eIF2Bgamma
gene13441,CG31523
gene2799,E(z)
gene2797,psq
gene6488,CG4908
gene6487,CG13972
gene6481,CG14881
gene6480,Fcp3C
gene2172,CG34242
gene2178,GramD1B
gene14163,ninaB
gene14417,GABA-B-R1
gene14410,CG8611
gene12318,CG8326
gene12317,CG6195
gene12316,CG14767
gene12315,KLHL18
gene12313,TTLL4A
gene12312,CG32409
gene12311,CG17217
gene12310,CG5435
gene15896,His2B:CG33868
gene4632,scrt
gene14045,Osi20
gene4787,trpl
gene14044,Dip-B
gene1912,Drep1
gene1913,CG8888
gene1911,CG43324
gene8130,CG6938
gene8641,CBP
gene7616,stc
gene8643,GABA-B-R2
gene15320,CG15531
gene8138,CG5096
gene9325,CG3021
gene4244,Six4
gene9327,Zmynd10
gene4246,HBS1
gene9321,Fen1
gene9320,CG8202
gene4243,CG32225
gene9322,Cul1
gene9329,koko
gene9328,NoSymbolFound
gene10315,nahoda
gene10317,Gadd45
gene10311,Rpb5
gene10312,RpL12
gene11954,Adk2
gene11401,koi
gene11950,tkv
gene11951,lark
gene11404,eEF1beta
gene11953,enok
gene8634,Ror
gene14040,Nup107
gene8636,CG31743
gene8184,CG1440
gene8182,Rab35
gene8183,CG3815
