OFAS018188,ppk23
OFAS002809,CG31229
OFAS002808,RpL37a
OFAS008479,PRL-1
OFAS007515,UGP
OFAS016525,CG12128
OFAS006495,CG34229
OFAS006496,S2P
OFAS016526,CG11655
OFAS007510,NoSymbolFound
OFAS006493,DNApol-eta
OFAS006498,CG11980
OFAS006499,spn-D
OFAS016832,Prdm13
OFAS015958,CG13397
OFAS015957,KCNQ
OFAS015953,RNaseX25
OFAS015952,CG8209
OFAS014606,CG14883
OFAS014604,NoSymbolFound
OFAS014608,CG14814
OFAS000663,CG7860
OFAS000665,axo
OFAS000667,Rlip
OFAS000666,wap
OFAS000669,mRpL43
OFAS009259,nito
OFAS009258,CG10565
OFAS009253,Gapdh1
OFAS009257,Rtc1
OFAS009784,CG31323
OFAS009781,NoSymbolFound
OFAS009783,Spt20
OFAS004314,dpr8
OFAS004316,CG9372
OFAS004313,Fim
OFAS012353,PI31
OFAS012351,Shaw
OFAS004318,JHDM2
OFAS012355,CG34396
OFAS000405,CG14325
OFAS000404,CG10465
OFAS005342,CG16789
OFAS000401,BBS9
OFAS008225,RhoGAP5A
OFAS000409,MED9
OFAS000408,CG9941
OFAS008227,CG13002
OFAS009438,wrd
OFAS016506,okr
OFAS008226,Tango10
OFAS002428,peng
OFAS010889,Liprin-alpha
OFAS004215,Gmap
OFAS010851,Cog3
OFAS010857,CG13901
OFAS010855,Hsc70Cb
OFAS010854,ATP8A
OFAS017809,mRpL10
OFAS010859,CG10600
OFAS018135,TTLL6B
OFAS005041,Vps60
OFAS005046,CG10512
OFAS001209,CalpA
OFAS001202,Wdfy2
OFAS001203,SmB
OFAS001204,Scox
OFAS001205,shu
OFAS001755,EloB
OFAS016502,CG34135
OFAS007007,Hsp60A
OFAS006961,Topors
OFAS006533,CG9503
OFAS006536,lace
OFAS006535,CG31111
OFAS011079,FRG1
OFAS005433,Fancm
OFAS005432,Fcp3C
OFAS011077,vvl
OFAS005434,HP1b
OFAS006538,CG10778
OFAS018601,CG16995
OFAS016868,CG14312
OFAS016869,Srp54k
OFAS005658,unc-119
OFAS010479,kat80
OFAS010478,sky
OFAS010475,APC4
OFAS016861,Scgbeta
OFAS016863,ClpX
OFAS016865,CG11089
OFAS016866,btsz
OFAS010472,spoon
OFAS013922,CG11658
OFAS019518,CCDC53
OFAS013920,Sps1
OFAS016733,CG13287
OFAS013926,CG31516
OFAS016736,CHES-1-like
OFAS016738,CG6724
OFAS013929,CG5618
OFAS014592,CG3999
OFAS014590,fidipidine
OFAS014597,Osi7
OFAS014594,Stacl
OFAS014598,sut1
OFAS014599,kraken
OFAS015182,bcn92
OFAS015183,Psi
OFAS015180,NiPp1
OFAS007560,O-fut1
OFAS007566,NoSymbolFound
OFAS007564,Rok
OFAS007569,car
OFAS015189,PIG-C
OFAS005656,CG9149
OFAS010299,CG5013
OFAS010298,Sirt7
OFAS010291,qsm
OFAS010293,ASPP
OFAS010297,Jheh2
OFAS004141,gem
OFAS004143,CG10927
OFAS004145,Dop1R1
OFAS004148,Peritrophin-A
OFAS007170,CG32333
OFAS007171,mRpL11
OFAS007173,ICA69
OFAS007177,CG15014
OFAS007178,Pect
OFAS017023,sage
OFAS017020,CG6015
OFAS011572,Pink1
OFAS012299,cpa
OFAS012298,ECSIT
OFAS012293,CG33108
OFAS012292,HisRS
OFAS012290,Adck1
OFAS012294,CG13558
OFAS017128,CG30382
OFAS017129,SmD2
OFAS017127,CG3817
OFAS017123,TfIIS
OFAS017120,l(2)gd1
OFAS006778,Rassf
OFAS006770,PIG-K
OFAS006776,CG13887
OFAS008311,CG4025
OFAS008642,Med
OFAS008641,Adar
OFAS008312,RecQ5
OFAS008315,TORIP
OFAS008646,CG9578
OFAS008317,CG4266
OFAS008644,CG15744
OFAS008319,CG5986
OFAS008318,Mtp
OFAS008649,gkt
OFAS003194,Rim
OFAS001436,Fkbp12
OFAS001923,CG6512
OFAS001922,ZC3H3
OFAS001925,CG8108
OFAS001924,Prosalpha3
OFAS001927,Cnot4
OFAS001926,RhoGEF4
OFAS001438,Alg-2
OFAS017463,raskol
OFAS003693,Tg
OFAS003697,Coq3
OFAS000344,Nipped-B
OFAS000342,gd
OFAS000348,zfh1
OFAS000349,CG8483
OFAS015744,Cpsf100
OFAS001696,CG16935
OFAS015746,Sin1
OFAS016298,orb2
OFAS016296,DCTN2-p50
OFAS016293,fend
OFAS014839,Sec23
OFAS014838,Shrm
OFAS011241,meigo
OFAS011240,mal
OFAS011243,ThrRS
OFAS011244,Mip
OFAS011711,SCAP
OFAS011249,RpL35A
OFAS011248,kek5
OFAS015407,CG5112
OFAS015406,Rox8
OFAS015405,SamDC
OFAS015401,Rho1
OFAS015409,Ccdc58
OFAS002278,CG13676
OFAS002273,jnj
OFAS002274,CG33785
OFAS002275,Plekhm1
OFAS002276,PIG-U
OFAS002277,Sec20
OFAS019070,mamo
OFAS007991,Hrb98DE
OFAS007997,Rbbp5
OFAS010596,Rpe
OFAS010045,Pfas
OFAS010594,eEF1alpha2
OFAS002311,chas
OFAS010043,Myb
OFAS010048,Dh31-R
OFAS010598,Abi
OFAS019217,RhoGAP102A
OFAS019214,CG8910
OFAS019213,mRpL33
OFAS019218,ND-B16.6
OFAS018035,Idh3b
OFAS018037,CG7675
OFAS018036,UQCR-11L
OFAS010620,CG9170
OFAS010621,Tip60
OFAS010626,CG14636
OFAS005843,Drak
OFAS005846,CG2218
OFAS005847,Vps13B
OFAS005844,Ndf
OFAS005597,sws
OFAS006166,CG5044
OFAS006167,RpS14a
OFAS006160,Mat89Ba
OFAS006162,CG7834
OFAS006163,CAP
OFAS006168,CG13630
OFAS017622,CG10737
OFAS002865,CG13631
OFAS002864,CG4882
OFAS002866,promL
OFAS002860,ADPS
OFAS002863,eIF2Bepsilon
OFAS002862,Traf6
OFAS002869,Pi3K59F
OFAS003199,CG6345
OFAS013027,Syn
OFAS013026,Reg-5
OFAS013025,CG13202
OFAS013024,sxc
OFAS016503,CG6841
OFAS013022,smog
OFAS011872,S1P
OFAS011878,CG14130
OFAS012990,mars
OFAS012991,Syx6
OFAS012992,eEFSec
OFAS015973,MESK2
OFAS015971,Sardh
OFAS015979,CrebA
OFAS000646,mRpL4
OFAS014624,cyr
OFAS004084,ClC-c
OFAS000649,CG6379
OFAS000648,RpL9
OFAS014620,l(3)mbt
OFAS014623,CG32264
OFAS011712,CG33932
OFAS000642,Cka
OFAS014628,mthl1
OFAS014629,CG4610
OFAS000645,Ets65A
OFAS007690,Ank2
OFAS008419,sav
OFAS008415,fd59A
OFAS008412,CG12091
OFAS007698,Brms1
OFAS008410,Xbp1
OFAS008411,Der-2
OFAS003739,CG13196
OFAS009238,NoSymbolFound
OFAS003730,CG6847
OFAS009236,Caf1-105
OFAS003736,CG14450
OFAS003737,SerRS-m
OFAS003735,jim
OFAS004338,CG10561
OFAS004334,NoSymbolFound
OFAS004333,CG9646
OFAS004332,Rcd1
OFAS000428,CG42672
OFAS007344,AOX3
OFAS006841,CG42450
OFAS000421,CG13097
OFAS000420,Ir75d
OFAS006840,CG11593
OFAS006847,onecut
OFAS017829,Ppox
OFAS017822,Tsen34
OFAS017821,Stlk
OFAS017820,sel
OFAS010835,alpha4GT1
OFAS001599,NoSymbolFound
OFAS010837,Tdrd3
OFAS001592,CG31068
OFAS009237,Eh
OFAS001596,Faf2
OFAS001597,eEF1delta
OFAS009231,NoSymbolFound
OFAS009230,Rga
OFAS016937,PIG-M
OFAS012749,CG33156
OFAS012746,Prp4k
OFAS012741,Atg7
OFAS012740,Trx-2
OFAS012743,Tsc1
OFAS005069,SecCl
OFAS008325,CG5937
OFAS005064,Flo1
OFAS005065,CG4313
OFAS005066,CheB38b
OFAS005067,CheA87a
OFAS005060,CG11920
OFAS005063,CG7966
OFAS008635,Tace
OFAS001779,mei-9
OFAS008320,Ipk2
OFAS001777,Mbs
OFAS001771,CG4329
OFAS001772,Rab21
OFAS001773,CG44774
OFAS006906,slo
OFAS013562,Mekk1
OFAS013563,Moe
OFAS013560,CG14174
OFAS013566,CG13216
OFAS013567,CG31638
OFAS013565,prc
OFAS011502,Zip102B
OFAS011503,Sbp2
OFAS014024,CG33303
OFAS014025,drongo
OFAS011054,CG17127
OFAS011055,CG31869
OFAS005457,Tsp26A
OFAS011509,eIF1A
OFAS011050,CG3776
OFAS005452,eIF3c
OFAS015212,Bsg
OFAS018622,Setd3
OFAS015214,stl
OFAS015215,Zdhhc8
OFAS018629,CG5276
OFAS015219,Spps
OFAS016886,Rrp42
OFAS010450,CG10864
OFAS016888,Zn72D
OFAS016889,mRpL34
OFAS012377,CG6293
OFAS013903,DNApol-alpha73
OFAS013909,NoSymbolFound
OFAS008522,dpp
OFAS007505,CG13623
OFAS007507,eIF3m
OFAS018480,PsGEF
OFAS007502,CG9231
OFAS018488,CrebB
OFAS007508,CG42685
OFAS004858,CG12974
OFAS004859,CG6282
OFAS004853,Ptpa
OFAS004851,CG11409
OFAS004854,Vta1
OFAS017590,ERp60
OFAS002107,ND-B17
OFAS016077,RpII15
OFAS017043,wds
OFAS017042,fs(1)h
OFAS011046,Grip75
OFAS005571,coro
OFAS017108,Mlp84B
OFAS006753,CG43861
OFAS006757,GAPcenA
OFAS006755,Hen1
OFAS003506,RpL10
OFAS003509,CG16758
OFAS003508,CG31156
OFAS006758,upSET
OFAS005218,Cadps
OFAS008330,CG13384
OFAS008337,wry
OFAS005216,CG10939
OFAS005214,Cpr76Bc
OFAS001909,CG4953
OFAS008622,CG14435
OFAS008629,eIF3e
OFAS008628,Rnf146
OFAS016318,CG10555
OFAS016319,CG42727
OFAS016312,CG6652
OFAS016310,kri
OFAS016311,ABCB7
OFAS016317,Sh
OFAS016948,Sil1
OFAS016946,PCB
OFAS016266,jub
OFAS016267,Drp1
OFAS013352,CG4119
OFAS013357,NoSymbolFound
OFAS013356,l(2)efl
OFAS013358,cyc
OFAS014813,CG8891
OFAS014811,ck
OFAS014817,eIF3h
OFAS014816,CG5758
OFAS014815,PhKgamma
OFAS014814,CG6153
OFAS009578,CHOp24
OFAS009572,Spt5
OFAS009573,CG9801
OFAS013681,Obp56a
OFAS013687,IntS2
OFAS009574,wnd
OFAS009575,mRpS21
OFAS010834,CG11679
OFAS000368,Pkc53E
OFAS010711,Ced-12
OFAS000367,CCT2
OFAS017565,hook
OFAS016405,POLDIP2
OFAS001014,Rme-8
OFAS001017,Vps24
OFAS001016,CG14234
OFAS002290,sicily
OFAS002296,Gyf
OFAS002297,CG31522
OFAS002294,CG42404
OFAS004620,or
OFAS012086,CG5500
OFAS012085,Top3alpha
OFAS012080,CG14229
OFAS012081,Cby
OFAS011263,NoSymbolFound
OFAS011262,Spase22-23
OFAS011266,NT1
OFAS012088,CG12929
OFAS016403,Gycbeta100B
OFAS010025,CG2124
OFAS010023,RpS13
OFAS010020,D2hgdh
OFAS019230,CG5038
OFAS012553,CaBP1
OFAS019235,CG10628
OFAS012557,eIF2Bdelta
OFAS011199,CBP
OFAS011197,PlexA
OFAS011191,Npc2a
OFAS011193,Rilpl
OFAS011192,NoSymbolFound
OFAS017691,Keap1
OFAS017696,CG4751
OFAS017698,mei-W68
OFAS005867,CG2918
OFAS006108,CG5116
OFAS006107,CG11327
OFAS006104,Pex7
OFAS006105,Eogt
OFAS006102,Arr2
OFAS006101,CG13305
OFAS014258,CG34027
OFAS014251,CG30100
OFAS014250,CG10324
OFAS014252,mrj
OFAS014255,gpp
OFAS014254,hiw
OFAS018548,NoSymbolFound
OFAS002726,CG11753
OFAS018018,Pi3K68D
OFAS018540,CG31100
OFAS018015,Svil
OFAS015027,Dim1
OFAS011855,Lapsyn
OFAS011857,E(spl)mbeta-HLH
OFAS011850,MED27
OFAS011853,RpS5a
OFAS011858,CG11837
OFAS014649,Mlc2
OFAS014643,smid
OFAS014640,Mlc1
OFAS000628,COX5A
OFAS000999,usp
OFAS000997,mTerf5
OFAS000627,brk
OFAS000994,mrva
OFAS000993,CG4901
OFAS000620,Tor
OFAS000623,sra
OFAS000622,Cul5
OFAS008430,Hrd3
OFAS008434,CG42269
OFAS008436,NoSymbolFound
OFAS008437,cpb
OFAS009810,mr
OFAS009813,norpA
OFAS009814,CG31381
OFAS009817,Myc
OFAS002840,CG9896
OFAS009741,cta
OFAS009215,RabX6
OFAS009214,Nfs1
OFAS009213,Rpt4
OFAS009746,RhoGEF3
OFAS009749,Pop2
OFAS003712,fus
OFAS000197,fru
OFAS012314,lwr
OFAS000193,CG14085
OFAS000701,Mcm10
OFAS017849,shi
OFAS008299,CG6686
OFAS010818,NoSymbolFound
OFAS010817,DnaJ-60
OFAS010816,cora
OFAS010814,mi
OFAS010813,qkr54B
OFAS017840,CG7650
OFAS010810,Hem
OFAS001572,Pp4-19C
OFAS001570,RSG7
OFAS001571,Dph3
OFAS007670,Ada2b
OFAS001577,CG7420
OFAS001575,Trs31
OFAS001578,PGRP-SC2
OFAS006405,Rh50
OFAS012767,RpL13A
OFAS012766,CG4199
OFAS012763,l(3)L1231
OFAS008577,CG3328
OFAS005003,Cbp80
OFAS014084,CG43668
OFAS005008,Tis11
OFAS001714,CG13627
OFAS001715,mthl10
OFAS001710,CG2224
OFAS006928,CG12814
OFAS006297,CG14830
OFAS006924,mRpL55
OFAS006293,Rbcn-3B
OFAS006290,CG9411
OFAS002633,CG3552
OFAS008725,NELF-B
OFAS002638,CG31715
OFAS013546,CG14535
OFAS013547,Ttc26
OFAS013540,ctp
OFAS013542,CG2082
OFAS011514,ash2
OFAS011526,Rif1
OFAS014007,NoSymbolFound
OFAS014000,drk
OFAS011521,Tl
OFAS008991,TAF1B
OFAS005470,CG2663
OFAS014008,Tsr1
OFAS011529,CG11050
OFAS015237,TBPH
OFAS015231,IscU
OFAS015239,Hsc70-4
OFAS019555,sigmar
OFAS016070,TfIIFalpha
OFAS007529,Dbp80
OFAS007528,CG10340
OFAS007524,Mys45A
OFAS007522,CG17028
OFAS007521,brm
OFAS004879,CG32683
OFAS004874,Eip74EF
OFAS004871,Lsm11
OFAS002124,Coq5
OFAS002125,Arl8
OFAS002126,Gp93
OFAS002127,Rab3
OFAS002120,CG1750
OFAS002121,CAH9
OFAS002123,RpL21
OFAS002128,CG7772
OFAS013964,defl
OFAS013965,Mocs1
OFAS013961,Vang
OFAS010059,CG7246
OFAS010058,CG7049
OFAS017061,CG13185
OFAS009506,pst
OFAS003523,Marc
OFAS003521,CG9609
OFAS003520,UQCR-Q
OFAS003526,Ca-beta
OFAS003524,CG5805
OFAS006731,mt:CoIII
OFAS006732,IntS8
OFAS008359,Pxt
OFAS008608,CG5418
OFAS008606,CG7011
OFAS008605,mTerf3
OFAS008356,Ttc19
OFAS008602,CG6191
OFAS008353,CG1265
OFAS008352,CG9596
OFAS001968,CG14301
OFAS001965,Sf3a2
OFAS001966,Fmo-1
OFAS001961,Ddr
OFAS016339,Pgant9
OFAS016334,Pez
OFAS016336,CycK
OFAS014783,Clbn
OFAS014785,CG5946
OFAS014788,Calr
OFAS016258,Gclm
OFAS016251,CG15098
OFAS016250,Ir64a
OFAS015788,Pglym87
OFAS016256,CG4041
OFAS004277,Kul
OFAS004274,Skadu
OFAS007060,ND-ASHI
OFAS014879,CG3808
OFAS014878,Bet1
OFAS007064,CG9135
OFAS001380,Lgr3
OFAS001386,ATPsynB
OFAS002720,CG31268
OFAS009558,levy
OFAS009004,Hsc70-5
OFAS002725,armi
OFAS009008,Elys
OFAS002729,CG12499
OFAS009550,skd
OFAS009552,mRpL50
OFAS009553,hob
OFAS000383,CG8003
OFAS000386,spin
OFAS000388,ND-B14.7
OFAS000389,Rabex-5
OFAS001031,yps
OFAS001039,Etl1
OFAS009707,lap
OFAS004607,pygo
OFAS004606,CG14223
OFAS000799,pit
OFAS016129,pk
OFAS011209,Adk2
OFAS011208,Atac1
OFAS011207,mats
OFAS011206,glo
OFAS011200,lilli
OFAS010000,CG10663
OFAS010001,SC35
OFAS010002,T48
OFAS010003,mute
OFAS010004,CG2246
OFAS010554,CG14882
OFAS016921,CG42788
OFAS010558,NoSymbolFound
OFAS010559,Prestin
OFAS016927,Ac78C
OFAS003893,CstF64
OFAS003897,CG30271
OFAS004085,Mdr50
OFAS005808,d
OFAS005809,Rpp14a
OFAS005806,MFS17
OFAS005807,cpx
OFAS005805,cN-IIIB
OFAS005803,Octbeta1R
OFAS018786,CG12975
OFAS006120,yip2
OFAS006123,pnut
OFAS006124,CG9297
OFAS006128,14-3-3epsilon
OFAS014272,stac
OFAS014279,Ost48
OFAS015003,Ada1-1
OFAS018566,Axn
OFAS018565,regucalcin
OFAS016464,CG12164
OFAS011838,GNBP3
OFAS011837,LSm3
OFAS011835,CG13601
OFAS004043,CG33523
OFAS014666,Aplip1
OFAS004046,Wdr33
OFAS004049,CG12325
OFAS007651,CG7523
OFAS007650,cert
OFAS007653,Hil
OFAS000604,rdx
OFAS000603,CG9922
OFAS000602,p24-1
OFAS000977,BBS5
OFAS007656,tamo
OFAS007659,run
OFAS003053,woc
OFAS009832,CheA56a
OFAS003776,Fcp1
OFAS003772,CG14621
OFAS003773,RhoGAP93B
OFAS003771,Fer1
OFAS005856,Nup107
OFAS007389,CG17683
OFAS007388,Snx27
OFAS012842,CG5567
OFAS007382,NoSymbolFound
OFAS007381,CG10973
OFAS012333,CG43346
OFAS012335,hfp
OFAS012336,msi
OFAS010895,Plc21C
OFAS017375,CG42663
OFAS008217,Sf3a1
OFAS008210,RpL15
OFAS008211,CG31855
OFAS017370,CG7991
OFAS006570,Osi24
OFAS017374,CG31191
OFAS005396,Ttc30
OFAS005397,CG15743
OFAS005394,hubl
OFAS005395,CG7220
OFAS017315,CG2127
OFAS005393,Cfp1
OFAS017861,phtf
OFAS017316,Meltrin
OFAS009769,CG30172
OFAS001551,Pldn
OFAS001552,ergic53
OFAS009762,Acbp2
OFAS009761,Acbp1
OFAS009765,Nlg4
OFAS008010,RyR
OFAS008016,eff
OFAS008017,Nf-YB
OFAS015641,beta4GalNAcTB
OFAS015643,Idh
OFAS015644,Gug
OFAS001736,Spt7
OFAS009498,Rgl
OFAS009495,CG17454
OFAS009494,sro
OFAS009491,NoSymbolFound
OFAS009490,Pbp45
OFAS007010,BORCS7
OFAS003794,CG18155
OFAS016456,SH3PX1
OFAS003796,sNPF
OFAS013526,CG13784
OFAS013524,RpS3A
OFAS013525,CG14020
OFAS013523,CG12702
OFAS013521,Obp56i
OFAS006542,ewg
OFAS006543,nord
OFAS006540,BRWD3
OFAS011548,CG42271
OFAS014069,RasGAP1
OFAS014066,FucTB
OFAS011544,yem
OFAS011545,ppl
OFAS014062,CG32066
OFAS014060,Neos
OFAS015258,CG14427
OFAS007898,CG32432
OFAS007895,Las
OFAS007894,CG14894
OFAS015252,CG16779
OFAS015250,Acn
OFAS002552,Np
OFAS002752,Dph5
OFAS004816,CG15141
OFAS004810,Cap-D3
OFAS004818,Rsph9
OFAS018553,ND-B14.5A
OFAS002146,veli
OFAS002147,Rcd-1
OFAS002144,fw
OFAS002145,Ilk
OFAS002142,Naa35
OFAS010764,Nipsnap
OFAS013941,CG4806
OFAS013943,Dgk
OFAS013944,vis
OFAS013945,otp
OFAS013949,SREBP
OFAS007652,CG14207
OFAS018229,Tsf2
OFAS018221,vri
OFAS017081,CG17698
OFAS017086,SERCA
OFAS007655,CG3609
OFAS003549,homer
OFAS016689,angel
OFAS006718,Antp
OFAS003545,CG40006
OFAS016685,snama
OFAS006715,Achl
OFAS003546,fd96Ca
OFAS006711,lig
OFAS006710,Clc
OFAS005257,Ptpmeg
OFAS008376,CG6294
OFAS008375,CG18259
OFAS008374,cold
OFAS008372,CG31445
OFAS008370,Ppat-Dpck
OFAS005258,metl
OFAS001947,Rrp6
OFAS015817,kst
OFAS015810,Rat1
OFAS015811,CG13310
OFAS001941,Sugb
OFAS018693,TM9SF3
OFAS016351,RpS11
OFAS017417,Asciz
OFAS016239,tau
OFAS013318,pros
OFAS013314,CG8646
OFAS013317,Est-Q
OFAS016231,CG5065
OFAS013313,mRNA-cap
OFAS004259,CG3732
OFAS014859,CG12547
OFAS014857,CG3295
OFAS014853,Akr1B
OFAS014852,CG42390
OFAS014851,Nmdar1
OFAS014850,CG11983
OFAS007044,Glut4EF
OFAS007042,Sap30
OFAS007043,CG5645
OFAS002704,CG30403
OFAS009025,CG5390
OFAS002706,CG11360
OFAS002700,COX7C
OFAS002701,G6P
OFAS002708,CG17233
OFAS009029,Acsl
OFAS007272,sba
OFAS010990,CG7519
OFAS010997,Fit1
OFAS001054,CG13293
OFAS001057,CG15140
OFAS001056,CG10508
OFAS001051,CG14805
OFAS001058,Yippee
OFAS004661,Gpa2
OFAS004660,CG30109
OFAS004663,klhl10
OFAS004662,CG4995
OFAS012043,CG32536
OFAS019014,kay
OFAS019015,CG16952
OFAS012044,CG3995
OFAS012045,CG6418
OFAS019019,mRpS23
OFAS012048,lute
OFAS016074,CG32225
OFAS011225,HDAC11
OFAS011224,tyf
OFAS019341,CG15084
OFAS011229,PGAP5
OFAS016560,NoSymbolFound
OFAS002422,Vps2
OFAS016901,Mgat4a
OFAS016900,EcR
OFAS010572,mRpL1
OFAS010573,Cad89D
OFAS016909,NoSymbolFound
OFAS018168,CG10237
OFAS012595,yata
OFAS016024,CG3078
OFAS012396,SIFaR
OFAS017250,CG42240
OFAS011483,CG15537
OFAS008813,Hr39
OFAS008810,CG6833
OFAS005823,Pura
OFAS008816,CG2258
OFAS011486,sinu
OFAS011485,kune
OFAS011484,Gs1l
OFAS008818,spt4
OFAS018760,Ccs
OFAS018763,CG15118
OFAS018765,Ubc2
OFAS013886,sip1
OFAS013889,kermit
OFAS013888,CG5989
OFAS014215,CG17377
OFAS014214,salm
OFAS014217,tutl
OFAS014213,Cdc23
OFAS014212,Clp
OFAS014219,sofe
OFAS015064,lov
OFAS015060,ninaB
OFAS010688,RpII18
OFAS010689,CG9776
OFAS010686,Klc
OFAS010684,CG10375
OFAS015069,CG17294
OFAS010683,foxo
OFAS013083,Synd
OFAS013464,GPHR
OFAS011812,nAChRbeta2
OFAS011813,MRG15
OFAS011814,MKP-4
OFAS011815,CG4324
OFAS011817,Dnai2
OFAS000834,mRpS24
OFAS000835,stj
OFAS000639,MESR3
OFAS000833,Rcp
OFAS002083,CG13001
OFAS000980,TrpA1
OFAS002081,Cp1
OFAS002085,CG30268
OFAS002088,CG5162
OFAS003284,CG4957
OFAS003285,CG11180
OFAS003282,Spx
OFAS003283,Rpb8
OFAS004060,jumu
OFAS000959,jagn
OFAS007678,CG14305
OFAS000953,l(2)35Be
OFAS000952,mRpL19
OFAS000951,Ubc6
OFAS000950,Tsp96F
OFAS007677,arr
OFAS000955,osa
OFAS000954,CG4935
OFAS003501,PGAP1
OFAS002889,CG43366
OFAS002883,DNApol-gamma35
OFAS017743,CG3092
OFAS017741,FANCI
OFAS017747,Cow
OFAS017744,eIF3f1
OFAS017745,Gip
OFAS009855,RtcB
OFAS009851,Prp8
OFAS009859,SF1
OFAS009858,Gnf1
OFAS004399,lmgB
OFAS004395,QIL1
OFAS004394,DhpD
OFAS004396,CG10576
OFAS004392,CG13131
OFAS012869,TTLL3A
OFAS012864,Cdc6
OFAS012866,omd
OFAS012867,alpha-PheRS
OFAS000481,unc-13
OFAS000480,CG11099
OFAS012862,Pde1c
OFAS002857,CG42724
OFAS017338,CG3402
OFAS017333,CAH1
OFAS017334,CG6055
OFAS001538,Pop5
OFAS001539,Not3
OFAS001536,CG8974
OFAS001534,DNAlig1
OFAS001535,Prp19
OFAS001533,Uba1
OFAS003758,TBCC
OFAS003759,Rsf1
OFAS009709,CG7953
OFAS009708,CG5004
OFAS003750,gro
OFAS006503,Atg4a
OFAS003020,Hexo2
OFAS003753,APC10
OFAS003026,Tmhs
OFAS006504,CG7115
OFAS003025,Dop1R2
OFAS000223,CtBP
OFAS000225,Ent2
OFAS000224,CG31357
OFAS008336,pasi2
OFAS008039,NoSymbolFound
OFAS001280,CG12863
OFAS001287,Coa7
OFAS013509,mew
OFAS013501,CG10311
OFAS011560,sina
OFAS011561,CG3164
OFAS014042,Hipk
OFAS011567,sn
OFAS007873,CG3652
OFAS015274,CG9727
OFAS015275,CheB74a
OFAS007877,CG43759
OFAS007879,CG30089
OFAS007878,CG43658
OFAS002571,Cngl
OFAS004833,klu
OFAS004837,conu
OFAS012674,ND-18
OFAS012677,CG13003
OFAS012676,conv
OFAS010743,crol
OFAS002162,Rad1
OFAS002163,eEF1beta
OFAS002164,ND-75
OFAS017534,CG9723
OFAS010745,Cpr56F
OFAS017356,Snx1
OFAS011432,CG5214
OFAS019594,kug
OFAS018244,Irk1
OFAS014155,CG42748
OFAS018248,CG6729
OFAS011385,CG17684
OFAS005567,CG45065
OFAS006087,Vps20
OFAS005561,pain
OFAS006083,Cdk4
OFAS006082,PIG-O
OFAS006081,CG1307
OFAS006080,disp
OFAS011382,CG43190
OFAS018348,hb
OFAS003566,Nup214
OFAS003565,Obp58c
OFAS018344,Osi19
OFAS003562,pwn
OFAS003561,tun
OFAS003560,CG3663
OFAS003569,Sym
OFAS003568,Obp50d
OFAS018436,Pxn
OFAS008357,Catsup
OFAS015878,CG3862
OFAS015877,su(f)
OFAS015871,CG8765
OFAS016370,CG34402
OFAS016371,CG4733
OFAS016376,Vajk4
OFAS012632,CG6583
OFAS016215,CG16908
OFAS013334,ida
OFAS013333,roq
OFAS008350,dj-1beta
OFAS013338,Wdr81
OFAS004237,Fibp
OFAS004235,unc79
OFAS007026,NoSymbolFound
OFAS000035,Hmx
OFAS007024,mino
OFAS007022,CG7272
OFAS007023,CG41128
OFAS000033,Prx3
OFAS007028,PIG-X
OFAS009519,CG15443
OFAS002769,RpS21
OFAS002766,Ubqn
OFAS002767,Phf5a
OFAS009044,CG3902
OFAS009045,CG34117
OFAS009042,CG11257
OFAS002763,RpL17
OFAS009040,CG15211
OFAS017578,aay
OFAS017298,Prosbeta3
OFAS017574,CG33981
OFAS017295,RpL22
OFAS017296,CG10333
OFAS017290,fl(2)d
OFAS010257,CG2200
OFAS017571,dlp
OFAS016762,moody
OFAS004645,UQCR-C1
OFAS014447,polo
OFAS004641,ppk28
OFAS004640,CG4645
OFAS012066,CG15429
OFAS012062,Atg13
OFAS012069,CG7786
OFAS014303,CG31915
OFAS019298,NijB
OFAS006860,p53
OFAS019294,mura
OFAS006865,msl-1
OFAS006867,beta3GalTII
OFAS001079,Gasp
OFAS001078,CG8520
OFAS001077,eIF4E1
OFAS001076,Baldspot
OFAS001074,ics
OFAS001070,mad2
OFAS005514,CG12237
OFAS008835,Lgr1
OFAS008836,ZnT86D
OFAS014186,EMC3
OFAS014181,CG10936
OFAS005512,CG8531
OFAS014182,Lcch3
OFAS018741,Sbat
OFAS014189,mRpL41
OFAS014188,boi
OFAS015591,Tom7
OFAS010518,repo
OFAS010513,noc
OFAS019434,CG12384
OFAS011609,CG7065
OFAS011608,Pfrx
OFAS014237,Fsn
OFAS014236,CG7006
OFAS011602,CG3618
OFAS014233,NoSymbolFound
OFAS014230,Mlf
OFAS015049,Bap170
OFAS015048,comt
OFAS015043,Scm
OFAS015042,CG14220
OFAS018521,cu
OFAS015040,Non1
OFAS016585,CG5757
OFAS016584,CG3792
OFAS008496,CG7879
OFAS000853,Mp
OFAS010964,hng2
OFAS004009,CG2698
OFAS004005,ato
OFAS004007,fbl
OFAS004006,CG5498
OFAS000938,CG2063
OFAS000935,ATPsyndelta
OFAS007617,be
OFAS007611,mRpS28
OFAS000930,Pex2
OFAS000933,CG34461
OFAS017768,Rich
OFAS009879,CG42346
OFAS009877,CG8067
OFAS009876,Snx6
OFAS009872,CG16791
OFAS012804,Nox
OFAS012805,CG30053
OFAS012802,CG16959
OFAS012800,ND-20
OFAS012809,CG41378
OFAS016050,CG4945
OFAS006692,DnaJ-H
