GeneName_TC	GeneName_OGid	Ortholog_id_symb	Dmel_paralogs	Dmel_paralogs_ids	Dmel_paralogs_Symbols	listOfParalogsIfAny	ifParalogHasOrtholog_id_symb	Dmel_Pparalogs	Dmel_Pparalogs_ids	Dmel_Pparalogs_Symbols
AGAP011134	7165:0027c6	7227:000913__FBgn0026411/Lim1	NoParalogs	-	-	-	-	-	-	-
AGAP011135	7165:0027c7	7227:001890__FBgn0034913/Snap29	NoParalogs	-	-	-	-	-	-	-
AGAP011136	7165:0027c8	7227:0016c7__FBgn0034223/Tes	NoParalogs	-	-	-	-	-	-	-
AGAP011137	7165:0027c9	7227:000e3a__FBgn0030799/CG4872	NoParalogs	-	-	-	-	-	-	-
AGAP011138	7165:0027ca	7227:0008b6__FBgn0026059/Mhcl	NoParalogs	-	-	-	-	-	-	-
AGAP011139	7165:0027cb	7227:00088f__FBgn0025740/PlexB	NoParalogs	-	-	-	-	-	-	-
AGAP011140	7165:0027cc	7227:001d8b__FBgn0036847/CNPYb	NoParalogs	-	-	-	-	-	-	-
AGAP011141	7165:0027cd	7227:0035ab__FBgn0265512/mlt	NoParalogs	-	-	-	-	-	-	-
AGAP011142	7165:0027ce	7227:00208e__FBgn0037978/KLHL18	NoParalogs	-	-	-	-	-	-	-
AGAP011143	7165:0027cf	7227:00346a__FBgn0263512/Vsx2	NoParalogs	-	-	-	-	-	-	-
AGAP011144	7165:0027d0	7227:0012c7__FBgn0032582/CG13258	NoParalogs	-	-	-	-	-	-	-
AGAP011145	7165:0027d1	NO ortholog	-	-	-	['7165:0027d3', '7165:0027d1']	7165:0027d3--7227:00014b__FBgn0001565/Hlc	NoParalogsParalogs	-	-
AGAP011146	7165:0027d2	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011147	7165:0027d3	7227:00014b__FBgn0001565/Hlc	NoParalogs	-	-	-	-	-	-	-
AGAP011148	7165:0027d4	7227:002664__FBgn0040389/mRpL14	NoParalogs	-	-	-	-	-	-	-
AGAP011149	7165:0027d5	7227:00141a__FBgn0033160/Dhx15	NoParalogs	-	-	-	-	-	-	-
AGAP011150	7165:0027d6	7227:0005ab__FBgn0014877/Roe1	NoParalogs	-	-	-	-	-	-	-
AGAP011151	7165:0027d7	NO ortholog	-	-	-	['7165:0027d8', '7165:0027d7']	7165:0027d8--7227:00025c__FBgn0003416/sl	NoParalogsParalogs	-	-
AGAP011152	7165:0027d8	7227:00025c__FBgn0003416/sl	NoParalogs	-	-	-	-	-	-	-
AGAP011153	7165:0027d9	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011155	7165:0027da	7227:002df0__FBgn0062449/CG13197	NoParalogs	-	-	-	-	-	-	-
AGAP011156	7165:0027db	7227:002059__FBgn0037894/Ranbp9	NoParalogs	-	-	-	-	-	-	-
AGAP011157	7165:0027dc	7227:001fec__FBgn0037728/p23	NoParalogs	-	-	-	-	-	-	-
AGAP011158	7165:0027dd	7227:002081__FBgn0037955/Kyat	NoParalogs	-	-	-	-	-	-	-
AGAP011159	7165:0027de	7227:0006a2__FBgn0019624/COX5A	NoParalogs	-	-	-	-	-	-	-
AGAP011160	7165:0027df	7227:0023d7__FBgn0039212/Syx18	NoParalogs	-	-	-	-	-	-	-
AGAP011161	7165:0027e0	7227:001f8e__FBgn0037607/CG8036	NoParalogs	-	-	-	-	-	-	-
AGAP011162	7165:0027e1	7227:000a0c__FBgn0027948/msps	NoParalogs	-	-	-	-	-	-	-
AGAP011163	7165:0027e2	7227:0021ac__FBgn0038397/CG10185	NoParalogs	-	-	-	-	-	-	-
AGAP028513	-	-	-	-	-	-	-	-	-	-
AGAP011164	7165:0027e3	7227:0020b9__FBgn0038043/CG17202	NoParalogs	-	-	-	-	-	-	-
AGAP011165	7165:0027e4	7227:003523__FBgn0264694/mgr	NoParalogs	-	-	-	-	-	-	-
AGAP011166	7165:0027e5	7227:000206__FBgn0003134/Pp1alpha-96A	NoParalogs	-	-	-	-	-	-	-
AGAP011167	7165:0027e6	7227:0023d1__FBgn0039203/CG13618	NoParalogs	-	-	-	-	-	-	-
AGAP011168	7165:0027e7	7227:00265d__FBgn0040376/AANATL7	NoParalogs	-	-	-	-	-	-	-
AGAP011169	7165:0027e8	7227:001674__FBgn0034094/Tsf3	NoParalogs	-	-	-	-	-	-	-
AGAP011170	7165:0027e9	7227:00189c__FBgn0034933/CG3735	NoParalogs	-	-	-	-	-	-	-
AGAP011171	7165:0027ea	7227:000cd8__FBgn0030274/Lint-1	NoParalogs	-	-	-	-	-	-	-
AGAP011172	7165:0027eb	7227:0000b8__FBgn0000566/Eip55E	NoParalogs	-	-	-	-	-	-	-
AGAP011173	7165:0027ec	7227:000525__FBgn0013325/RpL11	NoParalogs	-	-	-	-	-	-	-
AGAP011174	7165:0027ed	7227:000a97__FBgn0028687/Rpt1	NoParalogs	-	-	-	-	-	-	-
AGAP028620	-	-	-	-	-	-	-	-	-	-
AGAP011177	7165:0027f0	7227:000dad__FBgn0030600/hiw	NoParalogs	-	-	-	-	-	-	-
AGAP028514	-	-	-	-	-	-	-	-	-	-
AGAP011178	7165:0027f1	7227:0013f7__FBgn0033096/Zip42C.1	NoParalogs	-	-	-	-	-	-	-
AGAP011179	7165:0027f2	7227:0028ba__FBgn0050340/CG30340	NoParalogs	-	-	-	-	-	-	-
AGAP011180	7165:0027f3	7227:002c5b__FBgn0053182/Kdm4B	NoParalogs	-	-	-	-	-	-	-
AGAP011181	7165:0027f4	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011182	7165:0027f5	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011183	7165:0027f6	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011184	7165:0027f7	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011185	7165:0027f8	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP029061	-	-	-	-	-	-	-	-	-	-
AGAP011186	7165:0027f9	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011187	7165:0027fa	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP028515	-	-	-	-	-	-	-	-	-	-
AGAP011188	7165:0027fb	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011189	7165:0027fc	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011190	7165:0027fd	7227:003251__FBgn0261609/eIF2alpha	NoParalogs	-	-	-	-	-	-	-
AGAP011191	7165:0027fe	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011192	7165:0027ff	7227:0007aa__FBgn0023518/trr	NoParalogs	-	-	-	-	-	-	-
AGAP011193	7165:002800	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011194	7165:002801	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011195	7165:002802	7227:001e45__FBgn0037107/CG7166	NoParalogs	-	-	-	-	-	-	-
AGAP011196	7165:002803	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011197	7165:002804	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011198	7165:002805	7227:00265c__FBgn0040375/CG13760	NoParalogs	-	-	-	-	-	-	-
AGAP011199	7165:002806	7227:0035c0__FBgn0265630/sno	NoParalogs	-	-	-	-	-	-	-
AGAP028621	-	-	-	-	-	-	-	-	-	-
AGAP011202	7165:002809	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011203	7165:00280a	7227:000e01__FBgn0030719/eIF5	NoParalogs	-	-	-	-	-	-	-
AGAP011204	7165:00280b	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011205	7165:00280c	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011206	7165:00280d	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011207	7165:00280e	7227:001d3a__FBgn0036749/CG7460	NoParalogs	-	-	-	-	-	-	-
AGAP011208	7165:00280f	7227:00010f__FBgn0001186/Hex-A	NoParalogs	-	-	-	-	-	-	-
AGAP011209	7165:002810	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011210	7165:002811	7227:001626__FBgn0033973/HPS1	NoParalogs	-	-	-	-	-	-	-
AGAP011211	7165:002812	7227:001879__FBgn0034879/Rrp4	NoParalogs	-	-	-	-	-	-	-
AGAP011212	7165:002813	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011213	7165:002814	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011214	7165:002815	7227:002bc1__FBgn0052654/Sec16	NoParalogs	-	-	-	-	-	-	-
AGAP011215	7165:002816	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011216	7165:002817	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011217	7165:002818	7227:002f6e__FBgn0086129/snama	NoParalogs	-	-	-	-	-	-	-
AGAP011218	7165:002819	7227:0011ff__FBgn0032249/TBC1D16	NoParalogs	-	-	-	-	-	-	-
AGAP011219	7165:00281a	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP028516	-	-	-	-	-	-	-	-	-	-
AGAP011220	7165:00281b	7227:00119f__FBgn0032105/borr	NoParalogs	-	-	-	-	-	-	-
AGAP011222	7165:00281c	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011223	7165:00281d	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011224	7165:00281e	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011225	7165:00281f	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011226	7165:002820	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011227	7165:002821	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011228	7165:002822	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011229	7165:002823	7227:002f06__FBgn0085397/Fili	NoParalogs	-	-	-	-	-	-	-
AGAP011230	7165:002824	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011231	7165:002825	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011232	7165:002826	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011233	7165:002827	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011234	7165:002828	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP028622	-	-	-	-	-	-	-	-	-	-
AGAP011237	7165:00282b	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011238	7165:00282c	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011239	7165:00282d	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP028623	-	-	-	-	-	-	-	-	-	-
AGAP011242	7165:002830	7227:000b10__FBgn0029006/Smurf	NoParalogs	-	-	-	-	-	-	-
AGAP011243	7165:002831	7227:002875__FBgn0050105/CG30105	NoParalogs	-	-	-	-	-	-	-
AGAP011244	7165:002832	7227:0001ef__FBgn0003062/Fib	NoParalogs	-	-	-	-	-	-	-
AGAP011245	7165:002833	7227:000b12__FBgn0029079/icln	NoParalogs	-	-	-	-	-	-	-
AGAP011246	7165:002834	7227:000789__FBgn0023180/Orc6	NoParalogs	-	-	-	-	-	-	-
AGAP011247	7165:002835	7227:000748__FBgn0022238/lolal	NoParalogs	-	-	-	-	-	-	-
AGAP028517	-	-	-	-	-	-	-	-	-	-
AGAP011248	7165:002836	7227:00244d__FBgn0039385/CG5913	NoParalogs	-	-	-	-	-	-	-
AGAP011249	7165:002837	7227:0023d6__FBgn0039210/CG13625	NoParalogs	-	-	-	-	-	-	-
AGAP011250	7165:002838	7227:00052e__FBgn0013467/igl	NoParalogs	-	-	-	-	-	-	-
AGAP011251	7165:002839	7227:000747__FBgn0022224/ubl	NoParalogs	-	-	-	-	-	-	-
AGAP011252	7165:00283a	7227:001635__FBgn0033995/GPHR	NoParalogs	-	-	-	-	-	-	-
AGAP011253	7165:00283b	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011254	7165:00283c	7227:001af3__FBgn0035866/Arl5	NoParalogs	-	-	-	-	-	-	-
AGAP011255	7165:00283d	7227:002ab3__FBgn0051998/CG31998	NoParalogs	-	-	-	-	-	-	-
AGAP011256	7165:00283e	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011257	7165:00283f	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011262	7165:002840	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011267	7165:002841	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011270	7165:002842	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011271	7165:002843	7227:002ab5__FBgn0052000/anne	NoParalogs	-	-	-	-	-	-	-
AGAP028624	-	-	-	-	-	-	-	-	-	-
AGAP011274	7165:002846	7227:0016e4__FBgn0034270/PIG-A	NoParalogs	-	-	-	-	-	-	-
AGAP011275	7165:002847	7227:000cc5__FBgn0030243/CG2186	NoParalogs	-	-	-	-	-	-	-
AGAP011276	7165:002848	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011277	7165:002849	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011278	7165:00284a	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011279	7165:00284b	7227:00331f__FBgn0262476/CG43066	NoParalogs	-	-	-	-	-	-	-
AGAP011280	7165:00284c	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011281	7165:00284d	7227:0023e1__FBgn0039226/Ude	NoParalogs	-	-	-	-	-	-	-
AGAP011282	7165:00284e	7227:00291d__FBgn0050502/fa2h	NoParalogs	-	-	-	-	-	-	-
AGAP011283	7165:00284f	7227:00267f__FBgn0040513/kappaB-Ras	NoParalogs	-	-	-	-	-	-	-
AGAP011284	7165:002850	7227:0018b4__FBgn0034967/NoSymb	NoParalogs	-	-	-	-	-	-	-
AGAP011285	7165:002851	7227:0019a5__FBgn0035336/CG9004	NoParalogs	-	-	-	-	-	-	-
AGAP011286	7165:002852	7227:0031d7__FBgn0261276/Opa1	NoParalogs	-	-	-	-	-	-	-
AGAP011287	7165:002853	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011288	7165:002854	7227:002051__FBgn0037883/Dph3	NoParalogs	-	-	-	-	-	-	-
AGAP011289	7165:002855	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011290	7165:002856	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011291	7165:002857	7227:002dee__FBgn0062440/EMRE	NoParalogs	-	-	-	-	-	-	-
AGAP011292	7165:002858	7227:0000d6__FBgn0000709/fliI	NoParalogs	-	-	-	-	-	-	-
AGAP011293	7165:002859	7227:001630__FBgn0033988/pcs	NoParalogs	-	-	-	-	-	-	-
AGAP011294	7165:00285a	7227:00042e__FBgn0010385/Def	NoParalogs	-	-	-	-	-	-	-
AGAP011295	7165:00285b	7227:003191__FBgn0260945/Atg1	NoParalogs	-	-	-	-	-	-	-
AGAP011296	7165:00285c	7227:00326b__FBgn0261674/CG42709	NoParalogs	-	-	-	-	-	-	-
AGAP011297	7165:00285d	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011298	7165:00285e	7227:001bd0__FBgn0036213/RpL10Ab	NoParalogs	-	-	-	-	-	-	-
AGAP011299	7165:00285f	7227:000bb4__FBgn0029789/PGAP1	NoParalogs	-	-	-	-	-	-	-
AGAP011300	7165:002860	7227:001bce__FBgn0036211/CG5946	NoParalogs	-	-	-	-	-	-	-
AGAP011301	7165:002861	7227:001bc4__FBgn0036198/crim	NoParalogs	-	-	-	-	-	-	-
AGAP028096	7165:003186	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011302	7165:002862	7227:001a56__FBgn0035620/Alp9	NoParalogs	-	-	-	-	-	-	-
AGAP011303	7165:002863	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011305	7165:002864	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011306	7165:002865	7227:002658__FBgn0040370/CG13375	NoParalogs	-	-	-	-	-	-	-
AGAP011307	7165:002866	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP029189	-	-	-	-	-	-	-	-	-	-
AGAP011308	7165:002867	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011309	7165:002868	7227:0016d1__FBgn0034243/Ns2	NoParalogs	-	-	-	-	-	-	-
AGAP011310	7165:002869	7227:002456__FBgn0039405/PIG-P	NoParalogs	-	-	-	-	-	-	-
AGAP011312	7165:00286a	7227:001700__FBgn0034308/Naus	NoParalogs	-	-	-	-	-	-	-
AGAP011313	7165:00286b	7227:00175c__FBgn0034454/CG15120	NoParalogs	-	-	-	-	-	-	-
AGAP011314	7165:00286c	7227:001756__FBgn0034442/CG11257	NoParalogs	-	-	-	-	-	-	-
AGAP011315	7165:00286d	7227:001579__FBgn0033717/CG8839	NoParalogs	-	-	-	-	-	-	-
AGAP011316	7165:00286e	7227:001578__FBgn0033716/Den1	NoParalogs	-	-	-	-	-	-	-
AGAP011317	7165:00286f	7227:0026ba__FBgn0040732/CG16926	NoParalogs	-	-	-	-	-	-	-
AGAP011318	7165:002870	7227:0015e7__FBgn0033876/Syngr	NoParalogs	-	-	-	-	-	-	-
AGAP011319	7165:002871	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011320	7165:002872	7227:0018d2__FBgn0035010/CG13579	NoParalogs	-	-	-	-	-	-	-
AGAP011321	7165:002873	7227:0023bb__FBgn0039177/NoSymb	NoParalogs	-	-	-	-	-	-	-
AGAP011322	7165:002874	7227:002ab4__FBgn0051999/CG31999	NoParalogs	-	-	-	-	-	-	-
AGAP011323	7165:002875	7227:002b09__FBgn0052202/CG32202	NoParalogs	-	-	-	-	-	-	-
AGAP011324	7165:002876	7227:001e46__FBgn0037108/Alg11	NoParalogs	-	-	-	-	-	-	-
AGAP011325	7165:002877	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP028071	7165:00316d	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011326	7165:002878	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011327	7165:002879	7227:001745__FBgn0034422/CG7137	NoParalogs	-	-	-	-	-	-	-
AGAP011328	7165:00287a	7227:003660__FBgn0266917/Sf3a1	NoParalogs	-	-	-	-	-	-	-
AGAP011329	7165:00287b	7227:000c2f__FBgn0029969/CG10932	NoParalogs	-	-	-	-	-	-	-
AGAP011330	7165:00287c	7227:0010c6__FBgn0031774/CG9147	NoParalogs	-	-	-	-	-	-	-
AGAP011331	7165:00287d	7227:003237__FBgn0261564/ReepA	NoParalogs	-	-	-	-	-	-	-
AGAP011332	7165:00287e	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011333	7165:00287f	7227:000805__FBgn0024806/DIP2	NoParalogs	-	-	-	-	-	-	-
AGAP011334	7165:002880	7227:000587__FBgn0014163/fax	NoParalogs	-	-	-	-	-	-	-
AGAP011336	7165:002881	7227:0013db__FBgn0033052/SCAP	NoParalogs	-	-	-	-	-	-	-
AGAP011337	7165:002882	7227:001802__FBgn0034697/GM130	NoParalogs	-	-	-	-	-	-	-
AGAP011338	7165:002883	7227:0015f7__FBgn0033901/O-fut1	NoParalogs	-	-	-	-	-	-	-
AGAP011339	7165:002884	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP028166	7165:0031c9	7227:002beb__FBgn0052756/CG32756	NoParalogs	-	-	-	-	-	-	-
AGAP028518	-	-	-	-	-	-	-	-	-	-
AGAP011340	7165:002885	7227:0007fd__FBgn0024698/Cpsf160	NoParalogs	-	-	-	-	-	-	-
AGAP011341	7165:002886	7227:0003c7__FBgn0005659/Ets98B	NoParalogs	-	-	-	-	-	-	-
AGAP011342	7165:002887	7227:001d4b__FBgn0036769/Tsp74F	NoParalogs	-	-	-	-	-	-	-
AGAP011343	7165:002888	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011344	7165:002889	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011345	7165:00288a	7227:001e42__FBgn0037102/CRIF	NoParalogs	-	-	-	-	-	-	-
AGAP011346	7165:00288b	7227:002b6b__FBgn0052441/EMC10	NoParalogs	-	-	-	-	-	-	-
AGAP011347	7165:00288c	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011348	7165:00288d	7227:001d4a__FBgn0036768/CG7402	NoParalogs	-	-	-	-	-	-	-
AGAP011349	7165:00288e	7227:0000fe__FBgn0001134/Grd	NoParalogs	-	-	-	-	-	-	-
AGAP011350	7165:00288f	7227:001d42__FBgn0036760/CG5567	NoParalogs	-	-	-	-	-	-	-
AGAP011351	7165:002890	7227:00195e__FBgn0035229/pns	NoParalogs	-	-	-	-	-	-	-
AGAP011352	7165:002891	7227:0024c8__FBgn0039580/Gfat2	NoParalogs	-	-	-	-	-	-	-
AGAP011353	7165:002892	7227:001c07__FBgn0036300/Pmm2	NoParalogs	-	-	-	-	-	-	-
AGAP011354	7165:002893	7227:00159c__FBgn0033761/CG8778	NoParalogs	-	-	-	-	-	-	-
AGAP028143	7165:0031b3	7227:0023b9__FBgn0039172/Spase22-23	NoParalogs	-	-	-	-	-	-	-
AGAP011355	7165:002894	7227:001c6f__FBgn0036454/CG17839	NoParalogs	-	-	-	-	-	-	-
AGAP011356	7165:002895	7227:000bef__FBgn0029878/Pat1	NoParalogs	-	-	-	-	-	-	-
AGAP011357	7165:002896	7227:002240__FBgn0038610/CG7675	NoParalogs	-	-	-	-	-	-	-
AGAP011358	7165:002897	7227:003558__FBgn0264978/Slh	NoParalogs	-	-	-	-	-	-	-
AGAP011359	7165:002898	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011360	7165:002899	7227:002602__FBgn0040206/krz	NoParalogs	-	-	-	-	-	-	-
AGAP011361	7165:00289a	7227:000915__FBgn0026417/Hus1-like	NoParalogs	-	-	-	-	-	-	-
AGAP011362	7165:00289b	7227:00086c__FBgn0025634/CG13367	NoParalogs	-	-	-	-	-	-	-
AGAP011363	7165:00289c	7227:000637__FBgn0015797/Rab6	NoParalogs	-	-	-	-	-	-	-
AGAP011364	7165:00289d	7227:00148f__FBgn0033350/CG8237	NoParalogs	-	-	-	-	-	-	-
AGAP011365	7165:00289e	7227:001180__FBgn0032058/CG9289	NoParalogs	-	-	-	-	-	-	-
AGAP011366	7165:00289f	7227:00117f__FBgn0032057/CG9287	NoParalogs	-	-	-	-	-	-	-
AGAP011367	7165:0028a0	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011368	7165:0028a1	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP028138	7165:0031ae	7227:0003fb__FBgn0010225/Gel	NoParalogs	-	-	-	-	-	-	-
AGAP011369	7165:0028a2	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011370	7165:0028a3	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011371	7165:0028a4	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011372	7165:0028a5	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011373	7165:0028a6	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011374	7165:0028a7	7227:000809__FBgn0024833/AP-1mu	NoParalogs	-	-	-	-	-	-	-
AGAP011375	7165:0028a8	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011376	7165:0028a9	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011377	7165:0028aa	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011378	7165:0028ab	7227:00044e__FBgn0010452/trn	NoParalogs	-	-	-	-	-	-	-
AGAP011379	7165:0028ac	7227:0000e9__FBgn0001085/fz	NoParalogs	-	-	-	-	-	-	-
AGAP011383	7165:0028ad	7227:00257e__FBgn0039828/CG1542	NoParalogs	-	-	-	-	-	-	-
AGAP011384	7165:0028ae	7227:002fd4__FBgn0087007/bbg	NoParalogs	-	-	-	-	-	-	-
AGAP029132	-	-	-	-	-	-	-	-	-	-
AGAP011387	7165:0028b0	7227:001c71__FBgn0036460/CG5114	NoParalogs	-	-	-	-	-	-	-
AGAP029131	-	-	-	-	-	-	-	-	-	-
AGAP011388	7165:0028b1	7227:001c72__FBgn0036461/Zip71B	NoParalogs	-	-	-	-	-	-	-
AGAP011389	7165:0028b2	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011390	7165:0028b3	NO ortholog	-	-	-	['7165:0028b3', '7165:0028b4']	NULL	-	-	-
AGAP011391	7165:0028b4	NO ortholog	-	-	-	['7165:0028b3', '7165:0028b4']	-	-	-	-
AGAP011392	7165:0028b5	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011393	7165:0028b6	7227:001b63__FBgn0036038/defl	NoParalogs	-	-	-	-	-	-	-
AGAP011394	7165:0028b7	7227:001636__FBgn0033996/CG11807	NoParalogs	-	-	-	-	-	-	-
AGAP028519	-	-	-	-	-	-	-	-	-	-
AGAP011395	7165:0028b8	7227:0002b0__FBgn0003892/ptc	NoParalogs	-	-	-	-	-	-	-
AGAP029051	-	-	-	-	-	-	-	-	-	-
AGAP011398	7165:0028bb	7227:00364d__FBgn0266708/Cep89	NoParalogs	-	-	-	-	-	-	-
AGAP011399	7165:0028bc	7227:002803__FBgn0045862/btz	NoParalogs	-	-	-	-	-	-	-
AGAP011400	7165:0028bd	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011401	7165:0028be	7227:00067c__FBgn0016762/angel	NoParalogs	-	-	-	-	-	-	-
AGAP011402	7165:0028bf	7227:00014e__FBgn0001941/ifc	NoParalogs	-	-	-	-	-	-	-
AGAP011403	7165:0028c0	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011404	7165:0028c1	NO ortholog	-	-	-	['7165:0028c1', '7165:002d00']	NULL	-	-	-
AGAP011405	7165:0028c2	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP028682	-	-	-	-	-	-	-	-	-	-
AGAP028681	-	-	-	-	-	-	-	-	-	-
AGAP028683	-	-	-	-	-	-	-	-	-	-
AGAP028520	-	-	-	-	-	-	-	-	-	-
AGAP011407	7165:0028c4	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP028684	-	-	-	-	-	-	-	-	-	-
AGAP028521	-	-	-	-	-	-	-	-	-	-
AGAP011408	7165:0028c5	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011409	7165:0028c6	NO ortholog	-	-	-	['7165:0028c6', '7165:002da4']	NULL	-	-	-
AGAP028668	-	-	-	-	-	-	-	-	-	-
AGAP028667	-	-	-	-	-	-	-	-	-	-
AGAP028669	-	-	-	-	-	-	-	-	-	-
AGAP028670	-	-	-	-	-	-	-	-	-	-
AGAP028671	-	-	-	-	-	-	-	-	-	-
AGAP028672	-	-	-	-	-	-	-	-	-	-
AGAP028673	-	-	-	-	-	-	-	-	-	-
AGAP028674	-	-	-	-	-	-	-	-	-	-
AGAP028675	-	-	-	-	-	-	-	-	-	-
AGAP028676	-	-	-	-	-	-	-	-	-	-
AGAP028677	-	-	-	-	-	-	-	-	-	-
AGAP028678	-	-	-	-	-	-	-	-	-	-
AGAP028625	-	-	-	-	-	-	-	-	-	-
AGAP011412	7165:0028c9	7227:0031d8__FBgn0261277/rtv	NoParalogs	-	-	-	-	-	-	-
AGAP011413	7165:0028ca	7227:001be3__FBgn0036239/Pop2	NoParalogs	-	-	-	-	-	-	-
AGAP011414	7165:0028cb	7227:0035d3__FBgn0265959/rdgC	NoParalogs	-	-	-	-	-	-	-
AGAP011415	7165:0028cc	NO ortholog	-	-	-	NoParalogs	-	-	-	-
AGAP011416	7165:0028cd	NO ortholog	-	-	-	['7165:0028cd', '7165:002d64']	NULL	-	-	-
